50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0c5711b3-2551-4eaf-b266-4ccf2eec0ced,1,,,3838017,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 132019, 'name': 'El Chadaille Bitshiabu'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 31}, {'player': {'id': 144059, 'name': 'Warren Zaire Emery'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 33}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 50429, 'name': 'Hugo Ekitike'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 44}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 30}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,ffaa4ce3-12a3-4f50-be21-6272b954f547,2,,,3838017,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 48502, 'name': 'Mory Diaw'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 45047, 'name': 'Alidu Seidu'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 36}, {'player': {'id': 8704, 'name': 'Mateusz Wieteska'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 23682, 'name': 'Maximiliano Caufriez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 3195, 'name': 'Mehdi Zeffane'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 24665, 'name': 'Vivaldo Borges dos Santos Neto'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 6982, 'name': 'Maxime Gonalons'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 12}, {'player': {'id': 7626, 'name': 'Johan Gastien'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 32481, 'name': 'Muhammed Cham Saracevic'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 70}, {'player': {'id': 29786, 'name': 'Elbasan Rashani'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 18}, {'player': {'id': 7367, 'name': 'Grejohn Kyei'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 95}]}",Clermont Foot,152,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,59dd3e5b-d8d1-43bb-a9ee-365d66a2d9b4,3,,,3838017,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['08c261f9-1cd3-4119-bf19-2ce34a9e7b09'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,08c261f9-1cd3-4119-bf19-2ce34a9e7b09,4,,,3838017,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['59dd3e5b-d8d1-43bb-a9ee-365d66a2d9b4'],0,,,,,,,,,,,,,,,,,,Clermont Foot,152,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0b8bd452-436b-45a7-b08e-aaed1a875d31,1937,,,3838017,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,63,Clermont Foot,152,['be572754-7086-44ad-9074-caf346c79aa0'],0,,,,,,,,,,,,,,,,,,Clermont Foot,152,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,be572754-7086-44ad-9074-caf346c79aa0,1938,,,3838017,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,63,Clermont Foot,152,['0b8bd452-436b-45a7-b08e-aaed1a875d31'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.883961,,,,,,,,,,,,,,,72f79039-8003-47ee-99e6-0f9f869187c2,5,,"[61.0, 40.1]",3838017,0,,,,,2.8887863,,Left Foot,,,,"[49.0, 43.2]",,Ground Pass,,12.39395,,,,Marco Verratti,3166.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Center Forward,2,Paris Saint-Germain,131,['fa85ed14-a4a0-417a-a1b2-b9114025fc8e'],1,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.124,Pass,
,,,,,,,,,,,,,,,,1.098028,,,,,,,,,,,,,,,41ab8e31-049e-4061-8df1-dc230739f42c,8,,"[56.6, 40.5]",3838017,0,,,,,-1.9513026,,Right Foot,,,,"[52.8, 31.0]",,Ground Pass,,10.231813,,,,Vitor Machado Ferreira,34639.0,,,,,,1,From Kick Off,Marco Verratti,3166.0,Right Defensive Midfield,2,Paris Saint-Germain,131,['8c6c744a-6d1a-4f41-8a8b-25adb45f80c2'],4,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:04.535,Pass,
,,,,,,,,,,,,,,,,0.473248,,,,,,,,,,,,,,,15e4fc08-fb5c-4a0b-9083-bc7657850c66,11,,"[51.2, 29.2]",3838017,0,,,,,-1.19029,,Right Foot,,,,"[56.0, 17.2]",,Ground Pass,,12.924396,,,,Kylian Mbappé Lottin,3009.0,,,,,,1,From Kick Off,Vitor Machado Ferreira,34639.0,Left Defensive Midfield,2,Paris Saint-Germain,131,['b6c8ff1c-270f-4cbe-9554-2f59079710ad'],6,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.067,Pass,
,,,,,,,,,,,,,,,,0.730385,,,,,,,,,,,,,,,f14c505d-c7ad-49a6-8c64-94f6e1d38830,14,,"[56.1, 13.9]",3838017,0,,,,,2.0179846,,Right Foot,,,,"[51.4, 23.7]",,Ground Pass,,10.868763,,,,Vitor Machado Ferreira,34639.0,,,,,,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Center Forward,2,Paris Saint-Germain,131,['2994f1cc-2000-4ff1-a5f9-5cd4fe6ba207'],6,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.757,Pass,
