50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,a1651777-8cfd-4dd3-9868-b9a57505f135,2726,,,"[116.9, 19.7]",3837827,64,,,,,,,,,,,,,,,,,,,,,,,,2,Other,Adrien Truffert,45026.0,Left Wing Back,107,Rennes,134,['0cd0a70e-1155-4553-a92d-7b0ea6f8e6a9'],12,,,,,,,,,,,,,,,,Rennes,134,00:19:12.788,Dribble,True
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,a3434240-75a8-49c7-82bd-07d57f9d6cdc,2918,,,"[88.9, 3.1]",3837827,70,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Adrien Truffert,45026.0,Left Wing Back,115,Rennes,134,"['8a4880ee-33f7-4257-b5aa-4014e2f12896', 'a97d6cb3-22c4-47f4-8467-3ebbec6c2094']",35,,,,,,,,,,,,,,,,Rennes,134,00:25:35.097,Dribble,True
,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,2bf9b754-26b2-4f22-8616-b63ae30ab7aa,2937,,,"[67.8, 15.5]",3837827,70,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Amine Gouiri,4435.0,Left Wing,115,Rennes,134,"['0c35ba38-d621-479f-8e99-c0c00908ffdc', 'fbfdeef0-7d85-4b6c-8d45-df9cd166aaea']",52,,,,,,,,,,,,,,,,Rennes,134,00:25:52.258,Dribble,True
,,,,,,,,,,,,Incomplete,True,,,0.0,,,,,,,,,,eb3f5029-7cfb-4cbd-b3a2-690ca02cdd67,2945,,,"[80.0, 58.9]",3837827,70,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Warren Zaire Emery,144059.0,Right Defensive Midfield,115,Rennes,134,"['abe6ce5f-e413-4ba8-9487-1cc48773203d', 'e43497f1-29c4-4168-8332-dd50e3f54940']",57,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:25:57.278,Dribble,True
,,,,,,,,,,,,Incomplete,True,,,0.0,,,,,,,,,,5c593510-1e22-4974-b92b-534bd94b1dae,3069,,,"[37.0, 1.9]",3837827,76,,True,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jeremy Doku,23650.0,Left Wing,120,Paris Saint-Germain,131,['cdd52248-6375-47e3-8609-a38d6a06355c'],23,,,,,,,,,,,,,,,,Rennes,134,00:31:23.012,Dribble,True
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,8cf4cd58-f5b0-499a-a68c-840de1423f77,3109,,,"[52.3, 34.0]",3837827,76,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lovro Majer,28914.0,Right Defensive Midfield,122,Rennes,134,['9527e0a8-876e-4c52-8212-6c73ba56e620'],56,,,,,,,,,,,,,,,,Rennes,134,00:31:56.560,Dribble,True
,,,,,,,,,,,,Incomplete,,,,0.0,,,,,,,,,,38865c71-55bf-437b-aa55-5de2b9feea75,3180,,,"[83.9, 19.7]",3837827,78,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kylian Mbappé Lottin,3009.0,Left Wing,124,Paris Saint-Germain,131,['0675499c-1168-4fcf-9f13-eb42a0266b81'],12,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:33:12.199,Dribble,True
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,963ddf29-1b91-45bf-91ec-69272e87a233,3304,,,"[78.8, 72.0]",3837827,80,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kylian Mbappé Lottin,3009.0,Left Wing,126,Paris Saint-Germain,131,"['718bbbfd-e38c-4e18-a273-fd0a4dcb3fac', 'daee7436-7b44-4ad5-83dd-9c7f3cf53fc0']",22,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:35:22.850,Dribble,True
,,,,,,,,,,,,Incomplete,True,,,0.0,,,,,,,,,,15adbb13-abbe-4c28-81e0-0b56674d9322,3347,,,"[107.8, 9.3]",3837827,82,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jeremy Doku,23650.0,Left Wing,128,Rennes,134,"['0c519ff4-7b4a-4176-a125-726d32907c6a', '3eb46eb8-722d-44c6-ac7f-be80b67e7160']",52,,,,,,,,,,,,,,,,Rennes,134,00:37:52.666,Dribble,True
,,,,,,,,,,,,Complete,,,,0.0,,,,,,,,,,22129682-b7bb-45b8-a752-e977ebebd8a1,3463,,,"[88.3, 61.5]",3837827,85,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Achraf Hakimi Mouh,5245.0,Right Back,133,Paris Saint-Germain,131,"['c227fab5-6c39-4d85-bebc-8924c4bfd6f7', 'ce5c79ac-fe01-4909-92ae-81453ef159de', 'cf3ad1a4-dd16-435c-b145-8772b2f78dde']",47,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:40:47.680,Dribble,True
