bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c962226d-7344-4c9f-9c96-11f71a043822,1,,,,3837987,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 30}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 50429, 'name': 'Hugo Ekitike'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 44}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5ca97378-5db3-4a4e-8558-fcad8e03fe8b,2,,,,3837987,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 33397, 'name': 'François-Joseph Sollacaro'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 21992, 'name': 'Mohamed Youssouf'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 7285, 'name': 'Cédric Avinel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 33210, 'name': 'Clément Vidal'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 24901, 'name': 'Ismaël Chester Diallo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 3185, 'name': 'Thomas Mangani'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 7440, 'name': 'Vincent Marchetti'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7292, 'name': 'Mathieu Coutadeur'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7811, 'name': 'Mickaël Barreto'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 4}, {'player': {'id': 48411, 'name': 'Kevin Spadanuda'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 20879, 'name': 'Mounaim El Idrissy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",AC Ajaccio,158,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1a78a6b2-cd69-4093-955b-f0b2c6328bd7,3,,,,3837987,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['975fe406-d21d-4e25-95d8-b11d45323bb2'],0,,,,,,,,,,,,,,,AC Ajaccio,158,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,975fe406-d21d-4e25-95d8-b11d45323bb2,4,,,,3837987,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['1a78a6b2-cd69-4093-955b-f0b2c6328bd7'],0,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0b605999-7b26-4d23-89a0-87bd00cb05e5,2003,,,,3837987,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,78,Paris Saint-Germain,131,['0d956377-c85d-43f0-9612-fef5b5c3ffb7'],0,,,,,,,,,,,,,,,AC Ajaccio,158,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0d956377-c85d-43f0-9612-fef5b5c3ffb7,2004,,,,3837987,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,78,Paris Saint-Germain,131,['0b605999-7b26-4d23-89a0-87bd00cb05e5'],0,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.976215,,,,,,,,,,,,c0b21c38-100c-46db-a6e7-04cd5048dcc9,5,,,"[61.0, 40.1]",3837987,0,,,,3.0212972,,Left Foot,,,,"[51.9, 41.2]",,Ground Pass,,9.166243,,,,Marco Verratti,3166.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Right Attacking Midfield,2,Paris Saint-Germain,131,['56952027-623e-4ee6-9882-7b2f88307cc5'],0,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.903,Pass,
,,,,,,,,,,,,,,,,1.637644,,,,,,,,,,,,c5614f9d-815a-424d-b491-b8edbf12ac2e,8,,,"[52.2, 43.4]",3837987,0,,,,1.5707964,,Right Foot,,,,"[52.2, 72.9]",,Ground Pass,,29.5,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Marco Verratti,3166.0,Right Defensive Midfield,2,Paris Saint-Germain,131,['029fc767-0a80-4040-8e5b-a5ecd973d2e2'],3,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.443,Pass,
,,,,,,,,,,,,,,,,1.701233,,,,,,,,,,,,14b4b400-c6f6-4949-a716-1c2169160d58,11,,,"[52.2, 73.1]",3837987,0,,,,-1.9751078,,Right Foot,,,,"[43.3, 52.3]",,Ground Pass,,22.624102,,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Wing Back,2,Paris Saint-Germain,131,['bb4a95df-c485-4d50-81ee-9eadda9be2b3'],6,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.006,Pass,
,,,,,,,,,,,,,,,,2.187549,,,,,,,,,,,,e17daa3d-46ca-46cb-bda1-a9418e37df7b,14,,,"[42.9, 51.8]",3837987,0,,,,-1.3563247,,Right Foot,,,,"[49.5, 21.5]",,Ground Pass,,31.010483,,,,Danilo Luís Hélio Pereira,13621.0,,,,,,1,From Kick Off,Sergio Ramos García,5201.0,Center Back,2,Paris Saint-Germain,131,['d4350424-3bda-4827-b96e-c3bc5276e61c'],8,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:08.627,Pass,
,,,,,,,,,,,,,,,,1.063244,,,,,,,,,,,,e8982973-bb5e-47e2-96f3-b2c513b187bd,17,,,"[53.0, 18.0]",3837987,0,,,,-0.73485756,,Right Foot,,,,"[66.5, 5.8]",,Ground Pass,,18.195879,,,,Juan Bernat Velasco,15651.0,,,,,,1,From Kick Off,Danilo Luís Hélio Pereira,13621.0,Left Center Back,2,Paris Saint-Germain,131,['d1df6cee-a56d-413a-9d41-c48b951a2cb8'],11,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:11.529,Pass,
