50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d1637704-9c8f-4b46-a8a9-c59b14091d65,1,,,,3837683,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 4377, 'name': 'Maxime Dupé'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 30}, {'player': {'id': 47619, 'name': 'Anthony Rouault'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 24702, 'name': 'Rasmus Nicolaisen'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 32952, 'name': 'Moussa Diarra'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 24490, 'name': 'Mikkel Desler'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 107911, 'name': 'Oliver Zandén'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 8343, 'name': 'Stijn Spierings'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 21405, 'name': 'Branco van den Boomen'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 32752, 'name': 'Rafael Rogério da Silva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 21736, 'name': 'Zakaria Aboukhlal'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 6}, {'player': {'id': 41749, 'name': 'Thijs Dallinga'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Toulouse,130,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,159adbfb-1ed7-43c0-97e9-58c66700e09b,2,,,,3837683,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 2935, 'name': 'Nordi Mukiele Mulere'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 25}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 30}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,da05e91c-ab44-4077-97b6-04f1e43625d9,3,,,,3837683,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['0e804371-fe21-46e2-ba7b-889881b608a1'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0e804371-fe21-46e2-ba7b-889881b608a1,4,,,,3837683,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Toulouse,130,['da05e91c-ab44-4077-97b6-04f1e43625d9'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6bb36f11-d4d6-4de8-a382-650530754a74,1844,,,,3837683,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Toulouse,130,['e5df5972-51b8-4b09-91f6-66f299b170ab'],0,,,,,,,,,,,,,,,,,Toulouse,130,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e5df5972-51b8-4b09-91f6-66f299b170ab,1845,,,,3837683,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,104,Toulouse,130,['6bb36f11-d4d6-4de8-a382-650530754a74'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.782248,,,,,,,,,,,,,,931566e0-dd46-4772-b31c-b5546cdeaef8,5,,,"[61.0, 40.1]",3837683,0,,,,2.9996955,,Right Foot,,,"[50.5, 41.6]",,Ground Pass,,10.606602,,,,,Marco Verratti,3166.0,,,,,Kick Off,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Center Forward,2,Paris Saint-Germain,131,['0b0e4890-2319-473d-a48a-ee076d6874ff'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.649,Pass,
,,,,,,,,,,,,,,,,,0.901517,,,,,,,,,,,,,,774280ac-9c20-4fd2-9ca9-3f562119c4da,8,,,"[54.9, 46.5]",3837683,0,,,,2.0908625,,Right Foot,,,"[48.2, 58.2]",,Ground Pass,,13.482581,,,,,Vitor Machado Ferreira,34639.0,,,,,,1,From Kick Off,Marco Verratti,3166.0,Left Defensive Midfield,2,Paris Saint-Germain,131,['7890944f-8fe8-4bdc-badf-0c77bba8a02e'],2,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.923,Pass,
,,,,,,,,,,,,,,,,,1.292499,,,,,,,,,,,,,,9b7daf83-307c-4f24-b5bd-ba5d5f10f68e,11,,,"[48.0, 59.1]",3837683,0,,,,2.6752641,,Right Foot,,,"[33.1, 66.6]",,Ground Pass,,16.681128,,,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Vitor Machado Ferreira,34639.0,Right Defensive Midfield,2,Paris Saint-Germain,131,['d4be1c8e-a2ea-4f0d-b12b-da0079b1ef91'],4,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:04.971,Pass,
,,,,,,,,,,,,,,,,,1.299189,,,,,,,,,,,,,,70699257-6089-42e2-b810-ff1478433b45,14,,,"[33.1, 66.6]",3837683,0,,,,-1.439969,,Right Foot,,,"[36.1, 43.8]",,Ground Pass,,22.996521,,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Sergio Ramos García,5201.0,Right Center Back,2,Paris Saint-Germain,131,['57a484b7-1d96-4564-bc3d-20f4a33253f1'],7,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:07.120,Pass,
