50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,518c342e-c63b-4cb8-a285-31573de026ee,1,,,,3837727,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 2935, 'name': 'Nordi Mukiele Mulere'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 30}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 50429, 'name': 'Hugo Ekitike'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 44}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6d270401-ca1c-4e93-b997-83ec9952d9fa,2,,,,3837727,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 3815, 'name': 'Kasper Schmeichel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8534, 'name': 'Pablo Paulino Rosario'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 3197, 'name': 'Dante Bonfim da Costa Santos'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 36865, 'name': 'Mattia Viti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 42}, {'player': {'id': 10040, 'name': 'Youcef Atal'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 20}, {'player': {'id': 33221, 'name': 'Melvin Bard'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 26}, {'player': {'id': 3951, 'name': 'Mario Lemina'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 99}, {'player': {'id': 3517, 'name': 'Aaron Ramsey'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 4275, 'name': 'Ross Barkley'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 10463, 'name': 'Sofiane Diop'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 3190, 'name': 'Gaëtan Laborde'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 24}]}",OGC Nice,136,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a3600e3b-32aa-4dbb-8b45-3324fc5e7066,3,,,,3837727,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['f7783904-3d02-40cb-a122-c609d927ba68'],0,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f7783904-3d02-40cb-a122-c609d927ba68,4,,,,3837727,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Paris Saint-Germain,131,['a3600e3b-32aa-4dbb-8b45-3324fc5e7066'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,89910478-e443-4da5-9c31-df83df950595,2244,,,,3837727,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,67,Paris Saint-Germain,131,['2ea343e0-4121-4426-a844-c6bc3d53d2fc'],0,,,,,,,,,,,,,,,,OGC Nice,136,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,2ea343e0-4121-4426-a844-c6bc3d53d2fc,2245,,,,3837727,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,67,Paris Saint-Germain,131,['89910478-e443-4da5-9c31-df83df950595'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.839764,,,,,,,,,,,,c643ae8b-4286-4faa-a34f-4faca71e977b,5,,,"[61.0, 40.1]",3837727,0,,,,-3.1164408,,Right Foot,,,"[45.1, 39.7]",,Ground Pass,,15.90503,,,,Fabián Ruiz Peña,6655.0,,,,,Kick Off,1,From Kick Off,Hugo Ekitike,50429.0,Center Forward,2,Paris Saint-Germain,131,['21abc919-7275-4f6e-9aaa-77bd59391fec'],0,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.724,Pass,
,,,,,,,,,,,,,,,,0.578711,,,,,,,,,,,,09e844a8-6c15-470c-baab-67f18d6e8504,8,,,"[45.1, 41.2]",3837727,0,,,,1.3968952,,Left Foot,,,"[46.4, 48.6]",,Ground Pass,,7.5133214,,,,Vitor Machado Ferreira,34639.0,,,,,,1,From Kick Off,Fabián Ruiz Peña,6655.0,Left Defensive Midfield,2,Paris Saint-Germain,131,['b26475d8-2ab9-422e-8e7f-70766781ce6b'],2,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:02.244,Pass,
,,,,,,,,,,,,,,,,1.407237,,,,,,,,,,,,e4c2463d-7df0-4b3f-9fee-817501942127,11,,,"[51.6, 51.8]",3837727,0,,,,-2.7666008,,Right Foot,,,"[32.8, 44.4]",,Ground Pass,,20.20396,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Vitor Machado Ferreira,34639.0,Right Defensive Midfield,2,Paris Saint-Germain,131,['c4544705-1623-4f9e-b0f4-8c5680e1c5cf'],6,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.574,Pass,
,,,,,,,,,,,,,,,,1.81828,,,,,,,,,,,,381315cc-964e-4ac1-bf1f-ea031fe62a44,14,,,"[39.1, 40.6]",3837727,0,,,,-1.9693187,,Right Foot,,,"[28.7, 15.9]",,Ground Pass,,26.800186,,,,Sergio Ramos García,5201.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Center Back,2,Paris Saint-Germain,131,['b4a7ead5-9927-4cc7-82a9-9cc579fb0c1d'],10,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:10.726,Pass,
