50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.691763,,,,,,,,,,,,,61d72918-d649-41e0-8fe9-bff8303b3290,17,,,"[29.5, 50.3]",3837918,0,,,,-1.5645659,,Right Foot,,,"[29.7, 18.2]",,Ground Pass,,32.100624,,,,El Chadaille Bitshiabu,132019.0,,,,,,,1,From Kick Off,Danilo Luís Hélio Pereira,13621.0,Center Back,2,Paris Saint-Germain,131,['f98dfb9a-0905-4414-bbf3-fb5ef062a8f6'],9,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:09.849,Pass,
,,,,,,,,,,,,,,,2.033924,,,,,,,,,,,,,05f59c32-1c50-48e8-b37e-de94ca4565a7,20,,,"[29.9, 17.8]",3837918,0,,,,-0.646631,,Left Foot,,,"[50.3, 2.4]",,Ground Pass,,25.560125,,,,Nuno Mendes,41092.0,,,,,,,1,From Kick Off,El Chadaille Bitshiabu,132019.0,Left Center Back,2,Paris Saint-Germain,131,['6215db13-df6b-4c88-ad99-4a47f35a313c'],12,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:12.852,Pass,
,,,,,,,,,,,,,,,2.469386,,,,,,,,,,,,,29d16231-6ccc-4e79-808e-9c0c5e42aba0,23,,,"[50.3, 2.4]",3837918,0,,,,2.9242477,,Left Foot,,,"[26.3, 7.7]",,Ground Pass,,24.578243,,,,El Chadaille Bitshiabu,132019.0,,,,,,,1,From Kick Off,Nuno Mendes,41092.0,Left Wing Back,2,Paris Saint-Germain,131,['6e6a5b43-ed9a-46f8-a6d6-2d3398c278f3'],14,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:14.966,Pass,
,,,,,,,,,,,,,,,2.154574,,,,,,,,,,,,,a59508ab-b41a-48a6-8f7f-242481ecb854,26,,,"[26.3, 8.0]",3837918,0,,,,1.6286381,,Left Foot,,,"[23.7, 52.9]",,Ground Pass,,44.975216,,,,Danilo Luís Hélio Pereira,13621.0,,,True,,,,1,From Kick Off,El Chadaille Bitshiabu,132019.0,Left Center Back,2,Paris Saint-Germain,131,['71f3fb69-d4eb-4517-9f39-6cb6d5b2d4f8'],18,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:18.313,Pass,
,,,,,,,,,,,,,,,1.551533,,,,,,,,,,,,,06a070b8-1ca6-4bdd-868f-0598aad8488e,29,,,"[27.5, 55.0]",3837918,0,,,,1.1567973,,Right Foot,,,"[36.2, 74.8]",,Ground Pass,,21.627066,,,,Juan Bernat Velasco,15651.0,,,,,,,1,From Kick Off,Danilo Luís Hélio Pereira,13621.0,Center Back,2,Paris Saint-Germain,131,['a59505aa-0f6f-4ea8-9342-1368399fe5f3'],21,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:21.682,Pass,
,,,,,,,,,,,,,,,0.75226,,,,,,,,,,,,,bc4de713-d3bb-4dc8-af76-3a99fdbd8ba1,32,,,"[36.2, 74.8]",3837918,0,,,,-0.01652742,,Left Foot,,,"[48.3, 74.6]",,Ground Pass,,12.101653,,,,Vitor Machado Ferreira,34639.0,,,,,,,1,From Kick Off,Juan Bernat Velasco,15651.0,Right Center Back,2,Paris Saint-Germain,131,['29539ae5-99cd-454b-b0cc-53862fcb0a87'],23,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:23.757,Pass,
,,,,,,,,,,,,,,,1.027625,,,,,,,,,,,,,138ca1b8-d881-4707-94b5-835ab960b480,36,,,"[45.6, 74.8]",3837918,0,,,,-2.1088405,,Right Foot,,,"[41.9, 68.6]",,Ground Pass,,7.220111,,,,Marco Verratti,3166.0,,,,,,,1,From Kick Off,Vitor Machado Ferreira,34639.0,Right Center Midfield,2,Paris Saint-Germain,131,"['3bf06a5b-0de9-4578-bd94-53d33de92d58', 'a4e81649-a33d-4bc1-9c22-08e7a527db8b']",25,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:25.244,Pass,True
,,,,,,,,,,,,,,,0.328243,,,,,,,,,,,,,dc9caee2-b7b4-4c03-ab3d-0f2df2c720c0,42,,,"[41.9, 68.6]",3837918,0,,,,-2.7509856,,Right Foot,,,"[38.5, 67.2]",,Ground Pass,,3.6769552,,,,Juan Bernat Velasco,15651.0,,,,,,,1,From Kick Off,Marco Verratti,3166.0,Center Defensive Midfield,2,Paris Saint-Germain,131,"['11933e6d-9cc4-4574-b75c-826a34362292', 'e65c1caf-c445-425c-ae8f-c4820319603f']",26,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:26.312,Pass,True
,,,,,,,,,,,,,,,1.357996,,,,,,,,,,,,,7788289f-77a4-4851-a763-d4d9f0b32faf,46,,,"[66.2, 67.9]",3837918,0,,,,0.34364486,,Right Foot,,,"[86.6, 75.2]",,Ground Pass,,21.666796,,,,Timothee Pembele,39517.0,,,,,,,1,From Kick Off,Juan Bernat Velasco,15651.0,Right Center Back,2,Paris Saint-Germain,131,"['36ebd46c-6160-4fe2-b6e1-f8b73cf620e9', 'eabb4310-cc31-4687-9168-2bcf90dfc9f6']",30,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:30.460,Pass,True
,,,,,,,,,,,,,,,1.17821,,,,,,,,,,,,,5c5ce6d5-8ea7-470a-8f5c-c979bcae41a1,50,,,"[88.6, 74.3]",3837918,0,,,,3.1415927,,Right Foot,,,"[80.7, 74.3]",,Ground Pass,,7.9,,,,Juan Bernat Velasco,15651.0,,,,,,,1,From Kick Off,Timothee Pembele,39517.0,Right Wing Back,2,Paris Saint-Germain,131,"['285b9334-4df4-4576-8db5-c1cf44103107', 'ccf1150c-3a1a-4433-a328-071089948841']",33,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:33.696,Pass,True
