ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,9ef3129f-f65b-449d-aba3-4cbeb89c3641,1,,,,3837885,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 6792, 'name': 'Pau López Sabata'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3324, 'name': 'Eric Bertrand Bailly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 33233, 'name': 'Leonardo Julián Balerdi Rossa'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 3510, 'name': 'Sead Kolašinac'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 30040, 'name': 'Nuno Albertino Varela Tavares'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 16557, 'name': 'Ruslan Malinovskiy'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 18}, {'player': {'id': 3365, 'name': 'Valentin Rongier'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 7153, 'name': 'Jordan Veretout'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 6971, 'name': 'Cengiz Ünder'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 17}, {'player': {'id': 7345, 'name': 'Mattéo Guendouzi Olié'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 6}, {'player': {'id': 3385, 'name': 'Alexis Alejandro Sánchez Sánchez'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 70}]}",Marseille,147,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e1b2a037-6982-4c9b-8986-3b7ea0fce756,2,,,,3837885,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 2935, 'name': 'Nordi Mukiele Mulere'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 25}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 30}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,674e2f6a-c374-411d-ae59-6092836db2fd,3,,,,3837885,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['0614cccd-12b5-4d21-97b2-a4434a03f08d'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0614cccd-12b5-4d21-97b2-a4434a03f08d,4,,,,3837885,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Marseille,147,['674e2f6a-c374-411d-ae59-6092836db2fd'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,200cf1b4-d866-4585-8d6a-a011fc1cb5ed,1594,,,,3837885,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,Marseille,147,['e2ab7587-0828-4f9f-96c1-13b297b606a7'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e2ab7587-0828-4f9f-96c1-13b297b606a7,1595,,,,3837885,45,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,88,Marseille,147,['200cf1b4-d866-4585-8d6a-a011fc1cb5ed'],0,,,,,,,,,,,,,,,,,,Marseille,147,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.092766,,,,,,,,,,cff3dba7-d2ce-4f6e-a526-201b9ab7a403,5,,,"[61.0, 40.1]",3837885,0,,,,3.0828369,,Right Foot,,,"[52.5, 40.6]",,Ground Pass,,8.514693,,,Marco Verratti,3166.0,,,,,Kick Off,1,From Kick Off,Kylian Mbappé Lottin,3009.0,Left Center Forward,2,Paris Saint-Germain,131,['baceb362-3fe5-4e98-881a-cd15e77a64d2'],0,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.211,Pass,
,,,,,,,,,,,,,,,,,1.354837,,,,,,,,,,106a3f14-b376-4c8d-86bf-cc51948162ad,8,,,"[51.3, 44.3]",3837885,0,,,,2.0885367,,Left Foot,,,"[38.2, 67.3]",,Ground Pass,,26.469038,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Marco Verratti,3166.0,Center Defensive Midfield,2,Paris Saint-Germain,131,['8c49cfda-0c3b-4a05-ac4a-461714da4972'],3,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:03.186,Pass,
,,,,,,,,,,,,,,,,,2.801373,,,,,,,,,,0315e1e9-671b-4950-add4-045837f48042,11,,,"[39.5, 68.5]",3837885,0,,,,0.04831402,,Right Foot,,,"[85.0, 70.7]",,High Pass,,45.553154,,Incomplete,Nordi Mukiele Mulere,2935.0,,,,,,1,From Kick Off,Marcos Aoás Corrêa,4372.0,Right Center Back,2,Paris Saint-Germain,131,"['d32c4071-fd71-4b59-8ff4-56e924940d17', 'f927cc42-53a6-4376-bb4f-f75f736ea4a0']",6,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.808,Pass,
,,,,,,,,,,,,,,,,,1.573422,,,,,,,,,,f927cc42-53a6-4376-bb4f-f75f736ea4a0,13,,,"[35.1, 9.4]",3837885,0,,,,-0.30092025,,Head,,,"[46.7, 5.8]",,High Pass,,12.1457815,,Incomplete,Ruslan Malinovskiy,16557.0,,,,,Recovery,1,From Kick Off,Sead Kolašinac,3510.0,Left Center Back,2,Paris Saint-Germain,131,"['0315e1e9-671b-4950-add4-045837f48042', '67253887-4a82-43dd-a4b8-ac717ce5a8bf', '8f456f1d-7654-4311-823b-d91c33428315']",9,,,,,,,,,,,,,,,,,,Marseille,147,00:00:09.609,Pass,
