50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cc4206b8-3cac-438d-a618-19da605052ed,1,,,3837717,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 2947, 'name': 'Anthony Lopes'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 39260, 'name': 'Malo Gusto'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 3680, 'name': 'Thiago Henrique Mendes Ribeiro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 40185, 'name': 'Junior Castello Lukeba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 5507, 'name': 'Nicolás Alejandro Tagliafico'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 33158, 'name': 'Maxence Caqueret'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5480, 'name': 'Corentin Tolisso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 32900, 'name': 'Mateus Cardoso Lemos Martins'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 3551, 'name': 'Karl Brillant Toko Ekambi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 12509, 'name': 'Moussa Dembélé'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3451, 'name': 'Alexandre Lacazette'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Lyon,137,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2dfe0a03-6729-44d1-8937-6e547d25bb43,2,,,3837717,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,,0,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 5201, 'name': 'Sergio Ramos García'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 41092, 'name': 'Nuno Mendes'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 25}, {'player': {'id': 6655, 'name': 'Fabián Ruiz Peña'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 30}, {'player': {'id': 4320, 'name': 'Neymar da Silva Santos Junior'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,33f6ea87-13a7-42b6-b83c-13837b0fa27a,3,,,3837717,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['ae60453a-da5c-42bf-8002-bdf32e1fc819'],0,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ae60453a-da5c-42bf-8002-bdf32e1fc819,4,,,3837717,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lyon,137,['33f6ea87-13a7-42b6-b83c-13837b0fa27a'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2660fcf7-3d9c-4c39-b536-6937b62b1a22,2175,,,3837717,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Paris Saint-Germain,131,['5a7d36a3-17a4-40c1-86ed-28acbe187cf5'],0,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5a7d36a3-17a4-40c1-86ed-28acbe187cf5,2176,,,3837717,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,82,Paris Saint-Germain,131,['2660fcf7-3d9c-4c39-b536-6937b62b1a22'],0,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.311395,,,,,,,,,,,,,ea030a98-2f0e-4dd1-8ced-d9729b247c77,5,,"[60.0, 40.0]",3837717,0,,,,,-3.1078975,,Right Foot,,,"[42.2, 39.4]",,Ground Pass,,17.81011,,,,,Thiago Henrique Mendes Ribeiro,3680.0,,,,,Kick Off,1,From Kick Off,Moussa Dembélé,12509.0,Right Center Forward,2,Lyon,137,['96971b3c-0adf-464c-b746-27e93eeaedc8'],0,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:00.392,Pass,
,,,,,,,,,,,,,,,,,,,2.35126,,,,,,,,,,,,,92ad735a-1ba1-4755-8213-48b02d7d71d6,8,,"[43.8, 38.8]",3837717,0,,,,,-0.6318877,,Right Foot,,,"[84.1, 9.3]",,High Pass,,49.943367,,,,,Karl Brillant Toko Ekambi,3551.0,,,,,,1,From Kick Off,Thiago Henrique Mendes Ribeiro,3680.0,Right Center Back,2,Lyon,137,['f21ce320-9c2b-4675-afd7-a6c52c8f77b3'],2,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:02.856,Pass,
,,,,,,,,,,,,,,,,,,,0.891504,,,,,,,,,,,,,e7d7127e-e397-4186-aca5-fd2c63008f28,10,,"[84.1, 9.3]",3837717,0,,,,,1.2753555,,Head,,,"[86.2, 16.2]",,Low Pass,,7.212489,,,,,Alexandre Lacazette,3451.0,,,,,,1,From Kick Off,Karl Brillant Toko Ekambi,3551.0,Left Midfield,2,Lyon,137,['7e46d114-5f44-4c12-a998-e7971efaa1d8'],5,,,,,,,,,,,,,,,,,,,Lyon,137,00:00:05.208,Pass,
,,,,,,,,,,,,,,,,,,,0.990659,,,,,,,,,,,,,95350815-5f9b-47bb-90e8-7719ab4c1ab8,17,,"[35.8, 66.0]",3837717,0,,,,,2.462179,,Left Foot,,,"[28.0, 72.3]",,Ground Pass,,10.026465,,,,,Achraf Hakimi Mouh,5245.0,,,,,Recovery,1,Regular Play,Marco Verratti,3166.0,Left Defensive Midfield,3,Paris Saint-Germain,131,"['8cd8aad6-bd77-499e-832d-9977a3bd332c', 'eef323dd-86be-407d-9445-281686ca327a']",9,,,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:09.533,Pass,True
