50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,680e7ace-10a4-4d49-8a5a-fe8edc8ca920,1,,,3837695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 2981, 'name': 'Alban Lafont'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 21}, {'player': {'id': 3143, 'name': 'Andrei Girotto'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 3256, 'name': 'Nicolas Pallois'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 18239, 'name': 'Fábio Pereira da Silva'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 22111, 'name': 'Dennis Appiah'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 4412, 'name': 'Samuel Moutoussamy'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8485, 'name': 'Pedro Chirivella Burgos'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 3235, 'name': 'Ludovic Blas'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 45189, 'name': 'Evann Guessand'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 66886, 'name': 'Mostafa Mohamed Ahmed Abdallah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 31}]}",Nantes,144,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2e345734-4dd0-473a-a2ec-6c62ccd0223f,2,,,3837695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 13621, 'name': 'Danilo Luís Hélio Pereira'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 4372, 'name': 'Marcos Aoás Corrêa'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 2999, 'name': 'Presnel Kimpembe'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 15651, 'name': 'Juan Bernat Velasco'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 14}, {'player': {'id': 3166, 'name': 'Marco Verratti'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 34639, 'name': 'Vitor Machado Ferreira'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 6720, 'name': 'Pablo Sarabia García'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 3009, 'name': 'Kylian Mbappé Lottin'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 5503, 'name': 'Lionel Andrés Messi Cuccittini'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Paris Saint-Germain,131,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,e751679c-fabb-4704-a22e-778eafc4ee5a,3,,,3837695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['1e83bb37-4762-4e9e-bfb9-d4e01c140c9f'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1e83bb37-4762-4e9e-bfb9-d4e01c140c9f,4,,,3837695,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nantes,144,['e751679c-fabb-4704-a22e-778eafc4ee5a'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2d3fae2a-d6cf-4dda-ad0c-e651253b900b,1994,,,3837695,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,70,Paris Saint-Germain,131,['01a2699d-1811-45e3-aa20-15716fdc96cd'],0,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,01a2699d-1811-45e3-aa20-15716fdc96cd,1995,,,3837695,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,70,Paris Saint-Germain,131,['2d3fae2a-d6cf-4dda-ad0c-e651253b900b'],0,,,,,,,,,,,,,,,,,Nantes,144,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.859063,,,,,,,,,,9d33e22c-d38a-4b16-94a5-75359b6da40b,5,,"[60.0, 40.0]",3837695,0,,,,,2.659929,,Left Foot,,,,"[51.2, 44.6]",,Ground Pass,,9.929753,,,,Marco Verratti,3166.0,,,,,Kick Off,1,From Kick Off,Lionel Andrés Messi Cuccittini,5503.0,Center Forward,2,Paris Saint-Germain,131,['a8dff109-f8b9-4686-9196-b42cf853c637'],1,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:01.060,Pass,
,,,,,,,,,,,,,,,,,1.643071,,,,,,,,,,79363aeb-1b64-43e4-b014-5b43dda2c5a1,8,,"[58.2, 55.7]",3837695,0,,,,,1.3449049,,Right Foot,,,,"[61.9, 71.8]",,Ground Pass,,16.519686,,,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Marco Verratti,3166.0,Right Defensive Midfield,2,Paris Saint-Germain,131,['f1f4d995-eb5d-4e2a-b64f-c30fa64b40c7'],4,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:04.224,Pass,
,,,,,,,,,,,,,,,,,1.392495,,,,,,,,,,0f4f821b-2892-4882-896b-d6211d924228,11,,"[61.9, 71.8]",3837695,0,,,,,-2.767421,,Right Foot,,,,"[42.8, 64.3]",,Ground Pass,,20.519747,,,,Danilo Luís Hélio Pereira,13621.0,,,,,,1,From Kick Off,Achraf Hakimi Mouh,5245.0,Right Wing Back,2,Paris Saint-Germain,131,['3145f7a2-f1fe-457d-985d-876661c8ff96'],6,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:06.836,Pass,
,,,,,,,,,,,,,,,,,2.129325,,,,,,,,,,9d981576-ceac-4ee2-8e81-fd5ee8d6784f,14,,"[43.4, 64.3]",3837695,0,,,,,-2.6536863,,Right Foot,,,,"[20.6, 52.2]",,Ground Pass,,25.81182,,,,Marcos Aoás Corrêa,4372.0,,,,,,1,From Kick Off,Danilo Luís Hélio Pereira,13621.0,Right Center Back,2,Paris Saint-Germain,131,['ed8fe8f1-e71d-468d-8884-efbae074f751'],8,,,,,,,,,,,,,,,,,Paris Saint-Germain,131,00:00:08.389,Pass,
