50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dbf1ecf0-062d-470c-bc3b-2ec9920efec2,2557,,"[64.1, 58.6]",3922242,69,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ismaïla Sarr,2941.0,Right Wing,136,Senegal,787,['8f57aaac-b223-4cd4-a99a-5b5637585d1e'],41,,,,,,,,,,,,,,,,,Senegal,787,00:24:41.767,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4d0758c0-c241-4657-aa09-3af4c3d02e57,2560,,"[104.8, 64.4]",3922242,69,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Nicolas Jackson,50497.0,Center Forward,136,Senegal,787,['27e29d37-23a1-46ef-9122-4f6775129d51'],47,,,,,,,,,,,,,,,,,Senegal,787,00:24:47.280,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47d61bbf-36a0-49aa-a78c-b823a1b8893e,2563,,"[79.4, 38.3]",3922242,69,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Lamine Camara,392153.0,Left Defensive Midfield,136,Senegal,787,['49ac050a-3564-4751-9e2f-660147499995'],52,,,,,,,,,,,,,,,,,Senegal,787,00:24:52.756,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ae26caf-4685-494f-9a99-3c69f043c6b4,2566,,"[78.0, 25.0]",3922242,69,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Moussa Niakhate,3198.0,Left Center Back,136,Senegal,787,['0094f5fd-18fd-4fbf-b9ca-e3ffad6c1705'],54,,,,,,,,,,,,,,,,,Senegal,787,00:24:54.510,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4ea4963c-eebf-460c-bd92-b431b48e1a40,2569,,"[100.6, 3.1]",3922242,69,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ismail Jakobs,32915.0,Left Wing Back,136,Senegal,787,['893b4642-4796-4ecd-b218-f856a7721c01'],57,,,,,,,,,,,,,,,,,Senegal,787,00:24:57.386,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9731f04b-6b4b-4075-a041-55bdb1e34f72,2572,,"[93.0, 9.7]",3922242,70,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sadio Mané,3629.0,Left Wing,136,Senegal,787,['e567b550-48cc-474d-ad1e-44fb3e9afc25'],0,,,,,,,,,,,,,,,,,Senegal,787,00:25:00.112,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a993e33d-194f-4bbd-8a40-7a035ff081d3,2575,,"[98.5, 2.8]",3922242,70,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Ismail Jakobs,32915.0,Left Wing Back,136,Senegal,787,['52d9ef5c-946e-404d-a73d-3881c7d74e34'],3,,,,,,,,,,,,,,,,,Senegal,787,00:25:03.017,Ball Receipt*,
,,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0e4fc645-f418-46f8-a389-47d26e51c1f8,2578,,"[109.8, 7.9]",3922242,70,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Sadio Mané,3629.0,Left Wing,136,Senegal,787,['141dcb4f-9a46-4319-b1de-4210e78c6442'],5,,,,,,,,,,,,,,,,,Senegal,787,00:25:05.482,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343269e0-3adb-4647-a659-a84016e1ecd8,2584,,"[19.4, 65.5]",3922242,70,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jean Michaël Seri,3359.0,Left Defensive Midfield,138,Côte d'Ivoire,3374,['dc6c1fbf-9dba-41fc-95e7-2fd83e090ea1'],31,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:25:31.731,Ball Receipt*,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169b4ad0-3d29-4f2b-9723-0a81f79a5315,2587,,"[29.5, 58.6]",3922242,70,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Odilon Kossonou,27133.0,Right Center Back,138,Côte d'Ivoire,3374,['82cce68b-98d1-43de-8780-37c7b98613dc'],33,,,,,,,,,,,,,,,,,Côte d'Ivoire,3374,00:25:33.248,Ball Receipt*,
