50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bf47b53e-b406-4f08-930e-259b100001f5,1,,,3920404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 136296, 'name': 'Bechir Ben Said'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 105944, 'name': 'Wajdi Kechrida'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5651, 'name': 'Yassine Meriah'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 32450, 'name': 'Montassar Omar Talbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 30681, 'name': 'Ali Abdi'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 3767, 'name': 'Ellyes Joris Skhiri'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 44955, 'name': 'Aïssa Bilal Laïdouni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 50442, 'name': 'Hamza Rafia'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 8}, {'player': {'id': 132461, 'name': 'Mohamed Elias Achouri'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 27}, {'player': {'id': 23910, 'name': 'Youssef Msakni'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 35592, 'name': 'Anis Ben Slimane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Tunisia,777,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,880579ef-b485-41ac-9d8e-7fac3229dbb8,2,,,3920404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 102992, 'name': 'Djigui Diarra'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 3248, 'name': 'Hamari Traoré'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 23331, 'name': 'Boubakar Kouyate'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7295, 'name': 'Sikou Niakate'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 12557, 'name': 'Falaye Sacko'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 8759, 'name': 'Diadie Samassekou'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3433, 'name': 'Lassana Coulibaly'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 8774, 'name': 'Amadou Haïdara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 162132, 'name': 'Kamory Doumbia'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 105182, 'name': 'Lassine Sinayoko'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 25}, {'player': {'id': 23623, 'name': 'Sekou Koita'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Mali,4930,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5d28c2db-e85d-4e87-8bac-4cec93baf305,3,,,3920404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['45f8e955-ab59-44c5-82a1-dde26347d8f4'],0,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,45f8e955-ab59-44c5-82a1-dde26347d8f4,4,,,3920404,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Tunisia,777,['5d28c2db-e85d-4e87-8bac-4cec93baf305'],0,,,,,,,,,,,,,,,,Mali,4930,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,62cbc624-276b-4248-8065-ea2b55c4f7cb,1604,,,3920404,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,74,Tunisia,777,['90dbb46f-833d-489c-8a01-abee8a9e97a6'],0,,,,,,,,,,,,,,,,Mali,4930,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,90dbb46f-833d-489c-8a01-abee8a9e97a6,1605,,,3920404,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,74,Tunisia,777,['62cbc624-276b-4248-8065-ea2b55c4f7cb'],0,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.093492,,,,,,,,,,,a976724a-fff3-47ef-9d0b-8fecec987a6a,5,,"[61.0, 40.1]",3920404,0,,,,,2.8868344,,Right Foot,,,,"[51.4, 42.6]",,Ground Pass,,9.920181,,,Ellyes Joris Skhiri,3767.0,,,,,Kick Off,1,From Kick Off,Youssef Msakni,23910.0,Right Center Forward,2,Tunisia,777,['c13b3fa0-7ce3-4de0-8ec6-b27f7440e8b8'],0,,,,,,,,,,,,,,,,Tunisia,777,00:00:00.356,Pass,
,,,,,,,,,,,,,,,1.928399,,,,,,,,,,,beddb74b-e5c9-4a48-9c06-05545e7d2410,8,,"[50.3, 44.8]",3920404,0,,,,,1.5131679,,Right Foot,,,,"[52.1, 76.0]",,Ground Pass,,31.25188,,,Wajdi Kechrida,105944.0,,,,,,1,From Kick Off,Ellyes Joris Skhiri,3767.0,Right Defensive Midfield,2,Tunisia,777,['9d168860-9afa-436a-8fb8-09503d147689'],2,,,,,,,,,,,,,,,,Tunisia,777,00:00:02.319,Pass,
,,,,,,,,,,,,,,,1.439501,,,,,,,,,,,b10d026b-9750-4a55-b74b-fe7bd3a49203,12,,"[46.6, 75.4]",3920404,0,,,,,-2.7601886,,Right Foot,,,,"[27.4, 67.7]",,Ground Pass,,20.686468,,,Yassine Meriah,5651.0,,,,,,1,From Kick Off,Wajdi Kechrida,105944.0,Right Back,2,Tunisia,777,"['722d6f54-0806-4627-a8c1-808e340cee08', '7efa0839-a9d8-446a-aa41-e1e4499fbf43']",5,,,,,,,,,,,,,,,,Tunisia,777,00:00:05.564,Pass,True
,,,,,,,,,,,,,,,1.686503,,,,,,,,,,,2fcb87b5-1e26-41b7-8860-4166b1d6dd32,16,,"[19.6, 72.7]",3920404,0,,,,,0.16285089,,Right Foot,,,,"[54.9, 78.5]",,High Pass,,35.773315,Incomplete,,Hamza Rafia,50442.0,,,,,,1,From Kick Off,Yassine Meriah,5651.0,Right Center Back,2,Tunisia,777,"['4d4534f9-05d4-452f-a379-9f22e4b1bf47', 'b5043e44-34c8-4d98-844c-8b592c634beb', 'c22cac9d-1358-424c-80ed-ddef89e5cf20']",8,,,,,,,,,,,,,,,,Tunisia,777,00:00:08.466,Pass,True
