50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bb87bd5e-2f5e-4fd5-b4b0-6c155cf02502,1,,,,3920411,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 105932, 'name': 'Josimar José Évora Dias'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 28413, 'name': 'Willy Afonso Semedo Johnson'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 45557, 'name': 'Logan Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 105931, 'name': 'Edilson Alberto Monteiro Sanches Borges'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 48342, 'name': 'Dylan Tavares dos Santos'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 132800, 'name': 'Kevin Lenini Gonçalves Pereira de Pina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 40485, 'name': 'Ryan Isaac Mendes da Graça'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 23301, 'name': 'Kenny Rocha Santos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 50968, 'name': 'Erickson Patrick Correia Andrade'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 16001, 'name': 'Garry Mendes Rodrigues'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 105936, 'name': 'Gilson Benchimol Tavares'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Cape Verde Islands,4924,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,bc3ac08b-034c-4489-bde9-472e1c855b50,2,,,,3920411,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 5265, 'name': 'Mohamed El Sayed Mohamed El Shenawy Gomaa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 66892, 'name': 'Mohamed Hany Gamal Eldemerdash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4063, 'name': 'Ahmed Elsayed Ali Elsayed Hegazy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 69563, 'name': 'Mohamed Abdel Monem'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 67737, 'name': 'Ahmed Mohamed Abo El Fotouh Mohamed'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 70682, 'name': 'Marwan Attia Fahim Ghallab'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 66887, 'name': 'Hamdi Fathi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 67742, 'name': 'Emam Ashour Metwally Abdelghany'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 66878, 'name': 'Ahmed Sayed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 40761, 'name': 'Omar Marmoush'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 66886, 'name': 'Mostafa Mohamed Ahmed Abdallah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Egypt,774,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,a3d207c2-52b6-4452-96da-7f97b7af85a7,3,,,,3920411,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,['3a4ca584-e74d-4967-aecb-8a693b9ced8c'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,3a4ca584-e74d-4967-aecb-8a693b9ced8c,4,,,,3920411,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,['a3d207c2-52b6-4452-96da-7f97b7af85a7'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,5a97b3c4-5661-40fc-8294-c021f6ebaf87,1773,,,,3920411,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Egypt,774,['688e852c-4204-47da-bbca-9ecc422ef4ef'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,688e852c-4204-47da-bbca-9ecc422ef4ef,1774,,,,3920411,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Egypt,774,['5a97b3c4-5661-40fc-8294-c021f6ebaf87'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,0909238a-e314-4179-8e29-6b66cc246369,5,,,"[60.0, 40.0]",3920411,0,,,,-2.8798163,,Right Foot,,,"[33.5, 32.9]",,Ground Pass,,27.43465,,,,Edilson Alberto Monteiro Sanches Borges,105931.0,,,,,,Kick Off,1,From Kick Off,Gilson Benchimol Tavares,105936.0,Center Forward,2,Cape Verde Islands,4924,['5a44e6e9-ec6a-4c75-8f4c-7c069b96aad4'],0,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.400,Pass,
,,,,,,,,,,,,,,,,,,2.306037,,,,,,,,,,,4a9ba3e7-2a94-4035-8a4d-37d43f5c20ae,8,,,"[35.4, 39.3]",3920411,0,,,,-0.5896035,,Right Foot,,,"[78.6, 10.4]",,High Pass,,51.975475,,Incomplete,,Garry Mendes Rodrigues,16001.0,,,,,,,1,From Kick Off,Edilson Alberto Monteiro Sanches Borges,105931.0,Left Center Back,2,Cape Verde Islands,4924,"['aba56864-d187-4fe2-a82c-3beb087404a7', 'd935cd6d-9bbf-4530-9f6c-cfa3f5cc77c1']",6,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:06.479,Pass,
,,,,,,,,,,,,,,,,,,2.337062,,,,,,,,,,,aba56864-d187-4fe2-a82c-3beb087404a7,11,,,"[41.5, 69.7]",3920411,0,,,True,0.49999523,,,,,"[52.3, 75.6]",,High Pass,,12.306502,,Incomplete,,Ahmed Sayed,66878.0,,,,,,Interception,1,From Kick Off,Mohamed Hany Gamal Eldemerdash,66892.0,Right Back,2,Cape Verde Islands,4924,"['4a9ba3e7-2a94-4035-8a4d-37d43f5c20ae', '5a4aeb87-6589-4401-88c4-ee7713bd6533', 'd69924e6-cc2c-4e85-ad7d-05d795c9ca65', 'e8f1ccf3-c58b-4000-a439-97bb8ed0f31b']",8,,,,,,,,,,,,,,,,,Egypt,774,00:00:08.786,Pass,True
,,,,,,,,,,,,,,,,,,1.479997,,,,,,,,,,,e8f1ccf3-c58b-4000-a439-97bb8ed0f31b,14,,,"[67.8, 4.5]",3920411,0,,,True,-0.1746722,,,,,"[81.4, 2.1]",,High Pass,,13.810142,,,,Garry Mendes Rodrigues,16001.0,,,,,,Recovery,1,From Kick Off,Dylan Tavares dos Santos,48342.0,Left Back,2,Cape Verde Islands,4924,"['06ab65d3-0e45-4986-9394-3c60df8b0643', '9c223d99-404f-458b-beeb-c05532d67637', 'aba56864-d187-4fe2-a82c-3beb087404a7']",11,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:11.123,Pass,True
