50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.960698,,,,,,,,,,,,,8549d0be-f79a-4ce6-9ffe-5e8fd5ebfc5f,17,,"[33.2, 77.9]",3920403,0,,,,-2.6995466,,Right Foot,,,,"[20.1, 71.7]",,Ground Pass,,14.493102,,,Nouh Mohamed El Abd,389294.0,,,,,,,1,From Kick Off,Ibrahima Keita,264956.0,Right Back,2,Mauritania,4932,['ead14f6d-ab90-4cf6-b032-94544badbe39'],12,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:12.452,Pass,
,,,,,,,,,,,,,,,,,1.834523,,,,,,,,,,,,,ae5c2337-45b6-4b9a-9653-32312e571f6c,20,,"[20.1, 71.7]",3920403,0,,,,-0.27337682,,Right Foot,,,,"[60.4, 60.4]",,High Pass,,41.85427,Incomplete,,Pape Ibnou Bâ,45064.0,,,,,,,1,From Kick Off,Nouh Mohamed El Abd,389294.0,Right Center Back,2,Mauritania,4932,"['72c784d3-777c-4efb-9837-0a6618fb8107', 'c1ee5f8a-424c-4578-af4e-47531a2d0783']",13,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:13.452,Pass,
,,,,,,,,,,,,,,,,,1.505416,,,,,,,,,,,,,c1ee5f8a-424c-4578-af4e-47531a2d0783,22,,"[59.7, 19.7]",3920403,0,,,,0.09820524,,Right Foot,,,,"[80.0, 21.7]",,Low Pass,,20.398285,Incomplete,,Jacinto Muondo Dala,10577.0,,,,,,Recovery,1,From Kick Off,Manuel Luís da Silva Cafumana,31016.0,Left Defensive Midfield,2,Mauritania,4932,"['1fdbd4ac-31bf-4fc4-8820-3472d57d8765', '3e1c321c-f7d6-485e-83c8-ce92f3204468', 'ae5c2337-45b6-4b9a-9653-32312e571f6c']",15,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:15.287,Pass,
,,,,,,,,,,,,,,,,,1.567309,,,,,,,,,,,,,2c9ac3c8-4fb8-45af-89b0-e5919cfc9026,25,,"[81.2, 22.9]",3920403,0,,,,-0.67474097,,Right Foot,,,,"[89.2, 16.5]",,Ground Pass,,10.244999,Incomplete,,Ambrosini Antonio Cabaça Salvador,136312.0,,,,,,Recovery,1,From Kick Off,Cristóvão Paciência Mabululo,128881.0,Center Forward,2,Mauritania,4932,"['11e872e8-7c12-4ec9-b025-acab0a99f125', '50b8c38b-0f4e-4959-9d15-4b8a50f1e596']",17,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:17.812,Pass,
,,,,,,,,,,,,,,,,,2.263005,,,,,,,,,,,,,50b8c38b-0f4e-4959-9d15-4b8a50f1e596,27,,"[30.9, 63.6]",3920403,0,,,,-0.5194754,,Left Foot,,,,"[63.6, 44.9]",,High Pass,,37.66935,Incomplete,,Pape Ibnou Bâ,45064.0,,,,,,Recovery,1,From Kick Off,Ibrahima Keita,264956.0,Right Back,2,Mauritania,4932,"['2c9ac3c8-4fb8-45af-89b0-e5919cfc9026', '3aaa67b9-bcb6-42e4-9e33-e553ca2a9609', 'b83e6575-9b9a-4a75-ad86-ef774f24325d']",19,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:19.379,Pass,
,,,,,,,,,,,,,,,,,1.870803,,,,,,,,,,,,,938e2bf3-fb3c-4807-a4c1-c0e178d0543e,30,,"[66.5, 44.2]",3920403,0,,,,2.682776,,Head,,,,"[49.9, 52.4]",,High Pass,,18.514858,,,Eddie Marcos Melo Afonso,145058.0,,,,,,Recovery,1,From Kick Off,Alfredo Kulembe Ribeiro,10844.0,Right Defensive Midfield,2,Mauritania,4932,['1a08ae07-6041-4bf2-9ef2-e6f6b409b738'],23,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:23.717,Pass,
,,,,,,,,,,,,,,,,,1.511404,,,,,,,,,,,,,79a1bb1a-07f9-4edc-bab9-d6d7e34bf1f5,33,,"[50.7, 53.7]",3920403,0,,,,-0.32043993,,Right Foot,,,,"[73.6, 46.1]",,High Pass,,24.128199,Incomplete,,Cristóvão Paciência Mabululo,128881.0,,,,,,,1,From Kick Off,Eddie Marcos Melo Afonso,145058.0,Right Back,2,Mauritania,4932,"['611de8e5-04e8-4a5f-8f1b-c4154abbbe5b', 'bc822253-1110-4976-ac8b-ecf03b919595']",25,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:25.588,Pass,
,,,,,,,,,,,,,,,,,2.568176,,,,,,,,,,,,,bc822253-1110-4976-ac8b-ecf03b919595,35,,"[46.5, 34.0]",3920403,0,,,,-1.663646,,Head,,,,"[44.2, 9.3]",,High Pass,,24.806854,,,Yacoub Aly Abeid,11923.0,,,,,,Recovery,1,From Kick Off,Guessouma Fofana,3255.0,Center Defensive Midfield,2,Mauritania,4932,"['3d67ebcb-59d6-437b-b915-e9abafacf115', '79a1bb1a-07f9-4edc-bab9-d6d7e34bf1f5']",27,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:27.099,Pass,
,,,,,,,,,,,,,,,,,0.929584,,,,,,,,,,,,,7cade20e-0e11-45e7-8773-e4199fefe672,37,,"[44.6, 8.9]",3920403,0,,,,0.06241881,,Head,,,,"[55.8, 9.6]",,Low Pass,,11.221853,,,Aboubakary Koita,23892.0,,,,,,,1,From Kick Off,Yacoub Aly Abeid,11923.0,Left Back,2,Mauritania,4932,['b57fee37-2694-4643-a8a4-ed0149199612'],29,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:29.707,Pass,
,,,,,,,,,,,,,,,,,2.484157,,,,,,,,,,,,,2be1ad4f-a040-44bf-9408-52652b5977eb,41,,"[53.0, 29.1]",3920403,0,,,,1.9638543,,Right Foot,,,,"[39.4, 61.9]",,Ground Pass,,35.507744,,,Ibrahima Keita,264956.0,,,,,,,1,From Kick Off,Aboubakary Koita,23892.0,Left Midfield,2,Mauritania,4932,"['90846157-4355-47cf-80a1-5ea3d7f806b7', 'd4352ca8-5e4d-449a-a896-83caa97201a7']",33,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:33.467,Pass,True
,,,,,,,,,,,,,,,,,1.763792,,,,,,,,,,,,,553ffb43-6641-4890-b8fe-89997786e32b,45,,"[31.2, 67.5]",3920403,0,,,,-2.4636223,,Right Foot,,,,"[19.9, 58.4]",,Ground Pass,,14.508618,,,Nouh Mohamed El Abd,389294.0,,,,,,,1,From Kick Off,Ibrahima Keita,264956.0,Right Back,2,Mauritania,4932,"['6f317c47-366a-4024-96a1-1de3a00b6a61', 'f26f2e2d-43cd-4458-975a-171d89dd17f2']",38,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:38.260,Pass,True
,,,,,,,,,,,,,,,,,2.020895,,,,,,,,,,,,,a8ab78ce-254f-4bb6-ab68-cf32da278bc3,49,,"[22.0, 61.1]",3920403,0,,,,-0.29833397,,Right Foot,,,,"[64.6, 48.0]",,High Pass,,44.56871,,,Pape Ibnou Bâ,45064.0,,,,,,,1,From Kick Off,Nouh Mohamed El Abd,389294.0,Right Center Back,2,Mauritania,4932,"['32e7098c-a59d-43d3-9c43-bd1d37d46a77', 'bdfb4539-ac43-4350-8cae-c776c7dfb193']",40,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:40.641,Pass,True
,,,,,,,,,,,,,,,,,2.247304,,,,,,,,,,,,,78f3173e-030d-42e0-91c4-10b2b0a580b1,53,,"[61.9, 51.9]",3920403,0,,,,1.660502,,Right Foot,,,,"[60.2, 70.8]",,Low Pass,,18.976301,,,Ibrahima Keita,264956.0,,,,,,,1,From Kick Off,Pape Ibnou Bâ,45064.0,Center Forward,2,Mauritania,4932,"['820b63f1-1d0c-4e4f-8c13-825529e52d39', '88baf6c4-6fb3-4e5f-8035-d17d655193ad']",45,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:45.229,Pass,True
,,,,,,,,,,,,,,,,,0.298226,,,,,,,,,,,,,0b61d9ba-053f-4d4d-bb0e-25fa5e06aa5a,57,,"[64.8, 68.6]",3920403,0,,,,-0.882833,,Right Foot,,,,"[70.8, 61.3]",,Low Pass,,9.449339,Incomplete,,Aboubakary Koita,23892.0,,,,,,,1,From Kick Off,Ibrahima Keita,264956.0,Right Back,2,Mauritania,4932,"['1eae302e-d090-4972-abda-f2f5e375b9e1', '8490c89d-1cd2-4f51-8503-4a1e451ba093', 'f4a6ab4f-2bc6-4185-a768-58396f7c2c6e']",48,,,,,,,,,,,,,,,,,,,Mauritania,4932,00:00:48.331,Pass,True
,,,,,,,,,,,,,,,,,2.584155,,,,,,,,,,,,,3fec1f44-262e-4948-b818-fd0823488e4f,60,,"[29.2, 31.3]",3920403,0,,,,2.7246401,,Right Foot,,,,"[7.3, 41.0]",,Ground Pass,,23.952036,,,Adilson Cipriano da Cruz,135849.0,,,,,,Recovery,1,Regular Play,Kialonda Gaspar,103208.0,Right Center Back,3,Angola,4901,['2b520093-cc0e-41da-a426-7edd0e5c66c0'],51,,,,,,,,,,,,,,,,,,,Angola,4901,00:00:51.404,Pass,
,,,,,,,,,,,,,,,,,1.799304,,,,,,,,,,,,,ede1fd5a-9ed9-4531-897a-c666bb030ff8,63,,"[8.5, 42.5]",3920403,1,,,,1.0928639,,Left Foot,,,,"[15.7, 56.4]",,Ground Pass,,15.654073,,,Kialonda Gaspar,103208.0,,,,,,,1,Regular Play,Adilson Cipriano da Cruz,135849.0,Goalkeeper,3,Angola,4901,['7c17b971-913e-41b7-a0be-231355a31949'],0,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:00.208,Pass,
,,,,,,,,,,,,,,,,,2.136099,,,,,,,,,,,,,ce4ba317-bff9-47be-91d2-77d252ef50d2,65,,"[19.3, 56.9]",3920403,1,True,,,0.9534725,,Right Foot,,,,"[30.8, 73.1]",,Ground Pass,,19.866806,,,Eddie Marcos Melo Afonso,145058.0,,,,,,,1,Regular Play,Kialonda Gaspar,103208.0,Right Center Back,3,Angola,4901,['a7931036-bbc2-46d5-bae8-8ba9b1c2c96e'],3,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:03.987,Pass,
,,,,,,,,,,,,,,,,,1.793646,,,,,,,,,,,,,6dc1ad9d-0d6a-40cc-b24e-28542655fdc9,67,,"[31.6, 74.3]",3920403,1,,,,-2.141291,,Right Foot,,,,"[23.9, 62.3]",,Ground Pass,,14.25798,,,Kialonda Gaspar,103208.0,,,,,,,1,Regular Play,Eddie Marcos Melo Afonso,145058.0,Right Back,3,Angola,4901,['c56450d2-f603-465e-98d3-c4f376dfcfa9'],6,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:06.856,Pass,
,,,,,,,,,,,,,,,,,2.585531,,,,,,,,,,,,,d06cbf11-4f4d-4499-ac39-0356ca5b9b88,70,,"[23.4, 62.7]",3920403,1,,True,,1.088058,,Left Foot,,,,"[32.1, 79.3]",,Ground Pass,,18.741665,Injury Clearance,,,,,,,,,,1,Regular Play,Kialonda Gaspar,103208.0,Right Center Back,3,Angola,4901,,9,,,,,,,,,,,,,,,,,,,Angola,4901,00:01:09.588,Pass,
