50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,3.348242,,,,,,,,,,,,,58b0f713-859d-47f1-b609-229e09cfc664,19,,"[3.5, 51.2]",3920413,0,,,,,0.11650953,,Right Foot,,,,"[61.6, 58.0]",,High Pass,,58.496582,,,,Ablie Jallow,4471.0,,,,,,1,From Kick Off,Baboucarr Gaye,185579.0,Goalkeeper,2,Gambia,4934,"['4257f790-15fc-4f5a-ab0f-3ac0c0e6bd1f', '5697e5cf-6b4e-42b6-a5b7-0403ecdd957e']",10,,,,,,,,,,,,,,,,,Gambia,4934,00:00:10.733,Pass,True
,,,,,,,,,,,,,,,,,,,,0.492717,,,,,,,,,,,,,ca993a77-05b0-4740-a1a7-86f5fc6b1bd6,26,,"[54.8, 51.2]",3920413,0,,,,,-1.4191909,,Left Foot,,,,"[55.9, 44.0]",,Ground Pass,,7.283543,,,,Musa Barrow,6988.0,,,,,,1,From Kick Off,Alasana Manneh,28212.0,Right Defensive Midfield,2,Gambia,4934,"['6e5a1e33-e04a-41ec-abd9-8358e140be89', 'de1aba53-5160-4484-b130-454fb72c5f1a']",15,,,,,,,,,,,,,,,,,Gambia,4934,00:00:15.900,Pass,True
,,,,,,,,,,,,,,,,,,,,4.799996,,,,,,,,,,,,,b0d6f826-73db-465e-a306-b853adc82c72,32,,"[48.3, 0.1]",3920413,0,,True,,,0.0,,,,,,"[69.2, 0.1]",,Low Pass,,20.9,,,,Yankuba Minteh,307271.0,,,,,Throw-in,1,From Throw In,Jacob Mendy,47762.0,Left Back,3,Gambia,4934,['bc6d1d74-22dd-4214-bb4b-ed05c847a953'],27,,,,,,,,,,,,,,,,,Gambia,4934,00:00:27.619,Pass,
,,,,,,,,,,,,,,,,,,,,1.900227,,,,,,,,,,,,,41bc73b1-b872-4b2e-a888-7ee2bb221df9,37,,"[44.1, 80.0]",3920413,1,,True,,,-1.5842184,,,,,,"[43.9, 65.1]",,Low Pass,,14.901342,,,,Jean-Charles Castelletto,7426.0,,,,,Throw-in,1,From Throw In,Enzo Gianni Tchato Mbiayi,135043.0,Right Wing Back,4,Cameroon,2722,['e60dc8e8-a752-4ce0-bb7f-67f4b4b0ca00'],44,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:44.530,Pass,
,,,,,,,,,,,,,,,,,,,,1.301051,,,,,,,,,,,,,09068ddd-c299-4f1e-9ba1-619aee9985d6,40,,"[45.1, 64.6]",3920413,1,,,,,-1.7873466,,Right Foot,,,,"[42.9, 54.6]",,Ground Pass,,10.2391405,,,,Christopher Wooh,74588.0,,,,,,1,From Throw In,Jean-Charles Castelletto,7426.0,Right Center Back,4,Cameroon,2722,['483c13b0-2fa2-41a7-b8cf-f1fd8c4f1d97'],51,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:51.678,Pass,
,,,,,,,,,,,,,,,,,,,,1.712644,,,,,,,,,,,,,636ff210-4471-4e6e-9ff7-df3f988b8508,43,,"[42.9, 54.6]",3920413,1,,,,,-1.2687368,,Right Foot,,,,"[51.5, 27.0]",,Ground Pass,,28.908823,,,,Nouhou Tolo,13454.0,,,,,,1,From Throw In,Christopher Wooh,74588.0,Center Back,4,Cameroon,2722,['2b5b9aab-94f6-4c3b-ab79-34cda26a041c'],54,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:54.452,Pass,
,,,,,,,,,,,,,,,,,,,,1.728846,,,,,,,,,,,,,ff8a56ae-da6c-41ac-97e0-a2b9fb8bd78b,47,,"[63.1, 16.9]",3920413,1,,,,,2.2518134,,Left Foot,,,,"[49.0, 34.3]",,Ground Pass,,22.395758,,,,Christopher Wooh,74588.0,,,,,,1,From Throw In,Nouhou Tolo,13454.0,Left Center Back,4,Cameroon,2722,"['08e4a270-8c87-4d42-841a-d1309db73dcf', '8f2842a3-ade9-4d91-b3f2-7a257c6c656b']",59,,,,,,,,,,,,,,,,,Cameroon,2722,00:01:59.302,Pass,True
,,,,,,,,,,,,,,,,,,,,1.475978,,,,,,,,,,,,,f7e03654-3614-48d0-8f86-575792ddb7ba,51,,"[63.1, 40.6]",3920413,2,,,,,-1.4732805,,Right Foot,,,,"[65.8, 13.0]",,Ground Pass,,27.73175,,,,Nouhou Tolo,13454.0,,,,,,1,From Throw In,Christopher Wooh,74588.0,Center Back,4,Cameroon,2722,['a6e6f7f9-1b2b-40d0-8fbc-dc2f4accc132'],5,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:05.486,Pass,
,,,,,,,,,,,,,,,,,,,,1.019664,,,,,,,,,,,,,57fbd43c-2629-4f5a-b416-e01aad4bea4d,54,,"[72.3, 10.4]",3920413,2,,,,,-0.9707461,,Left Foot,,,,"[77.5, 2.8]",,Ground Pass,,9.208692,,,,Georges-Kévin Nkoudou Mbida,3639.0,,,,,,1,From Throw In,Nouhou Tolo,13454.0,Left Center Back,4,Cameroon,2722,['753a8a72-719b-4cee-b141-91f385835d1e'],9,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:09.562,Pass,
,,,,,,,,,,,,,,,,,,,,1.258878,,,,,,,,,,,,,9d4dbcd9-5ffb-461f-b38f-4c4e6c28822a,58,,"[74.9, 8.3]",3920413,2,,,,,1.5707964,,Right Foot,,,,"[74.9, 24.7]",,Ground Pass,,16.4,,,,Jules Olivier Ntcham,10530.0,,,,,,1,From Throw In,Georges-Kévin Nkoudou Mbida,3639.0,Left Wing,4,Cameroon,2722,"['61149ad0-2483-4a3d-87df-05ce74dbf263', 'cef825ce-07d4-4c39-bbfc-8349ece3141f']",12,,,,,,,,,,,,,,,,,Cameroon,2722,00:02:12.891,Pass,True
