50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,84bfec24-6e0b-4555-86c1-27c58cd1ab2a,1,,,,3922658,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 105932, 'name': 'Josimar José Évora Dias'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7197, 'name': 'Steven Moreira'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 45557, 'name': 'Logan Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 36271, 'name': 'Roberto Lopes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 133038, 'name': 'João Paulo Moreira Fernandes'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 132800, 'name': 'Kevin Lenini Gonçalves Pereira de Pina'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 23301, 'name': 'Kenny Rocha Santos'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 7753, 'name': 'Jamiro Gregory Monteiro Alvarenga'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40485, 'name': 'Ryan Isaac Mendes da Graça'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 16001, 'name': 'Garry Mendes Rodrigues'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 10598, 'name': 'Jovane Eduardo Borges Cabral'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Cape Verde Islands,4924,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,01d069e3-7248-4d26-b5e6-afd89bfe0be0,2,,,,3922658,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,,0,,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 66721, 'name': 'Ronwen Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 65719, 'name': 'Khuliso Johnson Mudau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 70093, 'name': 'Gomolemo Grant Kekana'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 65732, 'name': 'Mothobi Mvala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 65733, 'name': 'Aubrey Maphosa Modiba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 66716, 'name': 'Teboho Mokoena'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 42527, 'name': ""Sphephelo S''Miso Sithole""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 65727, 'name': 'Thapelo James Morena'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 23}, {'player': {'id': 65726, 'name': 'Themba Zwane'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 29367, 'name': 'Percy Tau'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 65853, 'name': 'Evidence Makgopa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",South Africa,4976,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e545a9b4-535b-4c53-b861-c475ad72bd4b,3,,,,3922658,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,['0c1d814e-b734-4c8e-92ea-b4813a262866'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0c1d814e-b734-4c8e-92ea-b4813a262866,4,,,,3922658,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Cape Verde Islands,4924,['e545a9b4-535b-4c53-b861-c475ad72bd4b'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fdd00bf1-dbb8-4f0f-8d51-bee9897279cb,1648,,,,3922658,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,87,South Africa,4976,['546bcdcd-6a89-4f1d-a3f9-40f0134dbe60'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,546bcdcd-6a89-4f1d-a3f9-40f0134dbe60,1649,,,,3922658,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,,,,87,South Africa,4976,['fdd00bf1-dbb8-4f0f-8d51-bee9897279cb'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8eed4223-917e-493f-b55f-6b5c463327ee,3056,,,,3922658,90,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,174,South Africa,4976,['07f50d2b-4d32-4a4a-91bd-3699b4b35076'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,07f50d2b-4d32-4a4a-91bd-3699b4b35076,3057,,,,3922658,90,,,,,,,,,,,,,,,,,,,,,,,,,3,From Throw In,,,,174,South Africa,4976,['8eed4223-917e-493f-b55f-6b5c463327ee'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8821b944-dace-4f88-a9a9-6810b332c390,3527,,,,3922658,105,,,,,,,,,,,,,,,,,,,,,,,,,4,From Free Kick,,,,194,Cape Verde Islands,4924,['3a5dd381-2e4c-4ec6-9c4a-d554d27bd441'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3a5dd381-2e4c-4ec6-9c4a-d554d27bd441,3528,,,,3922658,105,,,,,,,,,,,,,,,,,,,,,,,,,4,From Free Kick,,,,194,Cape Verde Islands,4924,['8821b944-dace-4f88-a9a9-6810b332c390'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0716b267-7d07-40a9-9e7d-f99533f5fe03,3975,,,,3922658,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Goal Kick,,,,227,South Africa,4976,['f9168766-3113-4f6e-8a16-1639eb951ad7'],0,,,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,f9168766-3113-4f6e-8a16-1639eb951ad7,3976,,,,3922658,120,,,,,,,,,,,,,,,,,,,,,,,,,5,From Goal Kick,,,,227,South Africa,4976,['0716b267-7d07-40a9-9e7d-f99533f5fe03'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.527252,,,,,,,,,,,,0cda73c3-0f24-416c-b69e-1062d232ae68,5,,,"[60.0, 40.0]",3922658,0,,,,,-2.8549352,,Right Foot,,,,"[33.2, 32.1]",Ground Pass,,27.940115,,,,Roberto Lopes,36271.0,,,,,Kick Off,1,From Kick Off,Jovane Eduardo Borges Cabral,10598.0,Center Forward,2,Cape Verde Islands,4924,['ba75f5fe-54a2-417f-bb66-401ca319d152'],0,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:00.725,Pass,
,,,,,,,,,,,,,,,1.186047,,,,,,,,,,,,73f1aa76-e2d6-485b-822d-e3742711e345,8,,,"[33.6, 32.1]",3922658,0,,,,,1.156969,,Right Foot,,,,"[40.1, 46.9]",Ground Pass,,16.164467,,,,Logan Costa,45557.0,,,,,,1,From Kick Off,Roberto Lopes,36271.0,Left Center Back,2,Cape Verde Islands,4924,['0961489a-4021-4dcd-aed7-17277de29354'],2,,,,,,,,,,,,,,,,,,,Cape Verde Islands,4924,00:00:02.993,Pass,
