50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,71abb531-8dca-446a-aae4-2c7c2222bcb3,1,,,,3920400,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7379, 'name': 'Edouard Mendy'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 20758, 'name': 'Krépin Diatta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 8553, 'name': 'Abdou Diallo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 22}, {'player': {'id': 32915, 'name': 'Ismail Jakobs'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 14}, {'player': {'id': 21026, 'name': 'Pape Gueye'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 26}, {'player': {'id': 2941, 'name': 'Ismaïla Sarr'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 18}, {'player': {'id': 50498, 'name': 'Pape Matar Sarr'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 392153, 'name': 'Lamine Camara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 25}, {'player': {'id': 3629, 'name': 'Sadio Mané'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 18516, 'name': 'Habibou Mouhamadou Diallo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 20}]}",Senegal,787,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,c4413743-600e-4e46-bf6b-9a911cdcd77b,2,,,,3920400,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 8064, 'name': 'André Onana'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 24}, {'player': {'id': 135043, 'name': 'Enzo Gianni Tchato Mbiayi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 74588, 'name': 'Christopher Wooh'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 7426, 'name': 'Jean-Charles Castelletto'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 21}, {'player': {'id': 13454, 'name': 'Nouhou Tolo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 43073, 'name': 'Yvan Neyou Noupa'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 16015, 'name': 'Nicolas Moumi Ngamaleu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 3}, {'player': {'id': 7355, 'name': 'Olivier Michel Kemen'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 3141, 'name': 'André-Frank Zambo Anguissa'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 3639, 'name': 'Georges-Kévin Nkoudou Mbida'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 189348, 'name': 'Frank Magri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Cameroon,2722,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1fa0207f-bad5-42ac-b6d6-d97ae01cd1c7,3,,,,3920400,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,['07372dc8-ac96-45d1-b82b-db743a71f1f0'],0,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,07372dc8-ac96-45d1-b82b-db743a71f1f0,4,,,,3920400,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Senegal,787,['1fa0207f-bad5-42ac-b6d6-d97ae01cd1c7'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,69a34ed0-b951-4f08-9657-c619163ffd02,1592,,,,3920400,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Cameroon,2722,['8064e7ce-2106-43ad-b8fe-9ff14a218e7f'],0,,,,,,,,,,,,,,,,,,Cameroon,2722,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,8064e7ce-2106-43ad-b8fe-9ff14a218e7f,1593,,,,3920400,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Cameroon,2722,['69a34ed0-b951-4f08-9657-c619163ffd02'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.086431,,,,,,,,,,633ff0c3-99d2-4612-aa23-b7d643415626,5,,,"[60.0, 40.0]",3920400,0,,,,-2.9878852,,Right Foot,,,"[52.9, 38.9]",,Ground Pass,,7.184706,,,Pape Matar Sarr,50498.0,,,,,Kick Off,1,From Kick Off,Habibou Mouhamadou Diallo,18516.0,Center Forward,2,Senegal,787,['75fe13d7-bacc-4390-b203-4dbc5675bbc0'],0,,,,,,,,,,,,,,,,,,Senegal,787,00:00:00.442,Pass,
,,,,,,,,,,,,,,,,,0.605494,,,,,,,,,,82de01b5-5619-4396-95f8-e70f56e8b41f,8,,,"[52.7, 38.6]",3920400,0,,,,-1.9272977,,Right Foot,,,"[47.3, 24.1]",,Ground Pass,,15.472879,,,Pape Gueye,21026.0,,,,,,1,From Kick Off,Pape Matar Sarr,50498.0,Right Center Midfield,2,Senegal,787,['e65b980d-676b-436e-a306-c6d79e15e20f'],2,,,,,,,,,,,,,,,,,,Senegal,787,00:00:02.273,Pass,
,,,,,,,,,,,,,,,,,1.519546,,,,,,,,,,2dd545bc-b05f-49c4-b895-63e723e79ddb,11,,,"[46.9, 24.3]",3920400,0,,,,1.837317,,Right Foot,,,"[38.3, 55.8]",,Ground Pass,,32.65287,,,Kalidou Koulibaly,5675.0,,,,,,1,From Kick Off,Pape Gueye,21026.0,Center Defensive Midfield,2,Senegal,787,['e81be8de-bf02-4d35-b840-90f887713a96'],3,,,,,,,,,,,,,,,,,,Senegal,787,00:00:03.898,Pass,
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,37a1f5a1-8c59-43d6-8796-b487f12db59a,15,,,"[37.1, 55.3]",3920400,0,,,,-2.7421424,,Right Foot,,,"[8.2, 43.1]",,Ground Pass,,31.369572,,,Edouard Mendy,7379.0,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Right Center Back,2,Senegal,787,"['103bc9a3-7c1e-40f0-9888-469f6a68ef36', '246c781d-e187-4a62-b62c-9e6b0059a280']",6,,,,,,,,,,,,,,,,,,Senegal,787,00:00:06.100,Pass,True
