50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,99ef9267-98a8-45ab-81f3-5c6661d8dc06,1,,,3920385,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Egypt,774,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 5265, 'name': 'Mohamed El Sayed Mohamed El Shenawy Gomaa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 66892, 'name': 'Mohamed Hany Gamal Eldemerdash'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 4063, 'name': 'Ahmed Elsayed Ali Elsayed Hegazy'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 69563, 'name': 'Mohamed Abdel Monem'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 70835, 'name': 'Mohamed Hamdy Sharaf'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 3568, 'name': 'Mohamed Naser Elsayed Elneny'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 66887, 'name': 'Hamdi Fathi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 66878, 'name': 'Ahmed Sayed'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5261, 'name': 'Mahmoud Ibrahim Hassan'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 66886, 'name': 'Mostafa Mohamed Ahmed Abdallah'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Egypt,774,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7ec7cf93-49fc-473a-9072-a05b79b9125a,2,,,3920385,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Egypt,774,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 136064, 'name': 'Ernan Alberto Siluane'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 389641, 'name': 'Domingos João Macandza'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 3250, 'name': 'Edson André Sitoe'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 17}, {'player': {'id': 65742, 'name': 'Edmilson Gabriel Dove'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 10848, 'name': 'Reinildo Isnard Mandava'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 29482, 'name': 'Ricardo Martins Guimarães'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 23706, 'name': 'Alfons Amade'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10865, 'name': 'Witiness Chimoio João Quembo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 106068, 'name': 'Gildo Lourenço Vilanculos'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 18}, {'player': {'id': 106074, 'name': 'Elias Gaspar Pelembe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 127547, 'name': 'Stanley Ratifo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 13}]}",Mozambique,4978,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,031ece54-68ac-4def-aff7-4c9ed81ba5cb,3,,,3920385,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Egypt,774,['777b946f-2f12-4bc4-b016-2f00df4b7608'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,777b946f-2f12-4bc4-b016-2f00df4b7608,4,,,3920385,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Egypt,774,['031ece54-68ac-4def-aff7-4c9ed81ba5cb'],0,,,,,,,,,,,,,,,,,Mozambique,4978,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,48cfe6ac-acb1-48cb-bfe0-c3adfecc2056,1790,,,3920385,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,71,Mozambique,4978,['0f778b2e-ea90-4851-b2d0-41ca6122c80c'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0f778b2e-ea90-4851-b2d0-41ca6122c80c,1791,,,3920385,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,71,Mozambique,4978,['48cfe6ac-acb1-48cb-bfe0-c3adfecc2056'],0,,,,,,,,,,,,,,,,,Mozambique,4978,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.841119,,,,,,,,,,,,,76bc8d18-ad2a-4f7a-8655-4c14952111a1,5,,"[60.0, 40.0]",3920385,0,,,,2.3107712,,Right Foot,,"[57.9, 42.3]",,Ground Pass,,3.1144824,,,,Mohamed Salah,3531.0,,,,,,Kick Off,1,From Kick Off,Hamdi Fathi,66887.0,Left Defensive Midfield,2,Egypt,774,['5b999368-7d2f-49f7-a933-2400fa0d2cb2'],0,,,,,,,,,,,,,,,,,Egypt,774,00:00:00.495,Pass,
,,,,,,,,,,,,,,,,,,1.011469,,,,,,,,,,,,,40585a4b-6794-4ec9-a10a-a4a744976784,9,,"[61.1, 31.5]",3920385,0,,,,0.43575785,,Left Foot,,"[80.0, 40.3]",,High Pass,,20.84826,,Incomplete,,Mahmoud Ibrahim Hassan,5261.0,,,,,,,1,From Kick Off,Mohamed Salah,3531.0,Center Attacking Midfield,2,Egypt,774,"['2072e2e5-3ac6-477f-8361-44ad01b97777', '6a7894d8-ec7e-42a5-8370-4bef65bfffc9', 'a2684a02-86bd-4a3a-9957-10a905560801']",3,,,,,,,,,,,,,,,,,Egypt,774,00:00:03.562,Pass,True
,,,,,,,,,,,,,,,,,,2.67914,,,,,,,,,,,,,6a7894d8-ec7e-42a5-8370-4bef65bfffc9,11,,"[40.1, 39.8]",3920385,0,,,,-0.61832416,,Head,,"[64.7, 22.3]",,Low Pass,,30.189568,,Incomplete,,,,,,,,,Recovery,1,From Kick Off,Alfons Amade,23706.0,Left Defensive Midfield,2,Egypt,774,"['40585a4b-6794-4ec9-a10a-a4a744976784', 'df0d6176-511a-464d-b7af-5ad1017f544f']",4,,,,,,,,,,,,,,,,,Mozambique,4978,00:00:04.573,Pass,
,,,,,,,,,,,,,,,,,,1.520904,,,,,,,,,,,,,68fb084f-0978-42fa-b439-5aa481e7d9d5,14,,"[55.4, 57.2]",3920385,0,,,,-2.4114573,,Right Foot,,"[43.0, 46.1]",,Ground Pass,,16.642416,,,,Ahmed Elsayed Ali Elsayed Hegazy,4063.0,,,,,,,1,From Kick Off,Mohamed Hany Gamal Eldemerdash,66892.0,Right Back,2,Egypt,774,['ac1997e8-3e24-4bff-bc1d-9734cb02de37'],8,,,,,,,,,,,,,,,,,Egypt,774,00:00:08.837,Pass,
