50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a1ddc2c8-93ce-4bcb-84ac-1380e1345628,1,,,3922243,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 6785, 'name': 'Yassine Bounou'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5245, 'name': 'Achraf Hakimi Mouh'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 12149, 'name': 'Nayef Aguerd'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 5219, 'name': 'Romain Saïss'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 15890, 'name': 'Noussair Mazraoui'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 5234, 'name': 'Sofyan Amrabat'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 46258, 'name': 'Azzedine Ounahi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 23774, 'name': 'Selim Amallah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 33401, 'name': 'Amine Adli'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 21}, {'player': {'id': 149714, 'name': 'Abdessamad Ezzalzouli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 16}, {'player': {'id': 6301, 'name': 'Youssef En-Nesyri'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Morocco,788,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d669a51e-09a8-4315-ad67-caa154faf7cb,2,,,3922243,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 66721, 'name': 'Ronwen Williams'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 65719, 'name': 'Khuliso Johnson Mudau'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 70093, 'name': 'Gomolemo Grant Kekana'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 18}, {'player': {'id': 65732, 'name': 'Mothobi Mvala'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 65733, 'name': 'Aubrey Maphosa Modiba'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 66716, 'name': 'Teboho Mokoena'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 42527, 'name': ""Sphephelo S''Miso Sithole""}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 65727, 'name': 'Thapelo James Morena'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 23}, {'player': {'id': 29367, 'name': 'Percy Tau'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 65853, 'name': 'Evidence Makgopa'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 65726, 'name': 'Themba Zwane'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",South Africa,4976,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,03958671-245d-4445-be87-a0e4a4187b42,3,,,3922243,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,['f76ec7c4-4a3d-4b9e-b0e5-8294fa8a0486'],0,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f76ec7c4-4a3d-4b9e-b0e5-8294fa8a0486,4,,,3922243,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Morocco,788,['03958671-245d-4445-be87-a0e4a4187b42'],0,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5211aaa0-9cab-4b5c-b840-5e1bef9fcfb0,1708,,,3922243,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,71,South Africa,4976,['1837faa7-e1c3-4580-93e3-c33aa7e437be'],0,,,,,,,,,,,,,,,,,South Africa,4976,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1837faa7-e1c3-4580-93e3-c33aa7e437be,1709,,,3922243,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,71,South Africa,4976,['5211aaa0-9cab-4b5c-b840-5e1bef9fcfb0'],0,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.000,Half Start,
,,,,,,,,,,,,,,1.467935,,,,,,,,,,,,,,f4013521-ac4c-4a1b-9bdc-41cde6f30f9e,5,,"[60.0, 40.0]",3922243,0,,,,2.5688756,,Right Foot,,,"[41.7, 51.8]",,Ground Pass,,21.774527,,,Nayef Aguerd,12149.0,,,,,Kick Off,1,From Kick Off,Sofyan Amrabat,5234.0,Center Defensive Midfield,2,Morocco,788,['8c10dd6c-41df-4e52-b073-8d5cc1a7c285'],0,,,,,,,,,,,,,,,,,Morocco,788,00:00:00.568,Pass,
,,,,,,,,,,,,,,3.445357,,,,,,,,,,,,,,bb0ccd18-8cc7-4985-a3cf-b5f65166af9f,8,,"[44.0, 51.8]",3922243,0,,,,0.4095603,,Left Foot,,,"[108.5, 79.8]",,High Pass,,70.31536,Out,,Achraf Hakimi Mouh,5245.0,,,,,,1,From Kick Off,Nayef Aguerd,12149.0,Right Center Back,2,Morocco,788,['85da9511-f355-41e2-bad0-0f0b8b65d9f0'],3,,,,,,,,,,,,,,,,,Morocco,788,00:00:03.739,Pass,
,,,,,,,,,,,,,,0.907651,,,,,,,,,,,,,,f9204aaf-9b1e-41c2-8697-f640e448d964,10,,"[15.7, 0.1]",3922243,0,,,,0.43002114,,,,,"[29.0, 6.2]",,Low Pass,,14.632156,,,Percy Tau,29367.0,,,,,Throw-in,1,From Throw In,Aubrey Maphosa Modiba,65733.0,Left Back,3,South Africa,4976,['319a23d1-c26d-4dcf-840d-34b114950ffb'],18,,,,,,,,,,,,,,,,,South Africa,4976,00:00:18.457,Pass,
,,,,,,,,,,,,,,0.872508,,,,,,,,,,,,,,91ae85f3-eb8b-4c75-8a9c-1777ea464f8b,13,,"[29.0, 6.2]",3922243,0,,,,-3.0466409,,Left Foot,,,"[16.4, 5.0]",,Ground Pass,,12.657014,,,Aubrey Maphosa Modiba,65733.0,,,,,,1,From Throw In,Percy Tau,29367.0,Left Midfield,3,South Africa,4976,['7c9655ac-3d50-4b82-867b-b30682a7c1d7'],19,,,,,,,,,,,,,,,,,South Africa,4976,00:00:19.525,Pass,
