bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,224d6601-6768-4908-aa17-df7c0b6dda1b,1,,,,3895232,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 49337, 'name': 'Josip Stanišić'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 41411, 'name': 'Nathan Tella'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 19}, {'player': {'id': 33401, 'name': 'Amine Adli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4ecb7ba2-122b-4bc6-846d-d2e3e2af4165,2,,,,3895232,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 5570, 'name': 'Manuel Neuer'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 10956, 'name': 'Eric Dier'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 43565, 'name': 'Min Jae Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15890, 'name': 'Noussair Mazraoui'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 40}, {'player': {'id': 24946, 'name': 'Sacha Boey'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 140589, 'name': 'Aleksandar Pavlović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 45}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 39565, 'name': 'Jamal Musiala'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 42}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,94fb7d19-0216-4cc8-9131-fc41d750b44c,3,,,,3895232,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['67915205-392c-4f78-8b75-4cf6b88abc1e'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,67915205-392c-4f78-8b75-4cf6b88abc1e,4,,,,3895232,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['94fb7d19-0216-4cc8-9131-fc41d750b44c'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f5672a2b-8f90-47e7-a30e-cbeae543a000,2127,,,,3895232,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Bayer Leverkusen,904,['78e921ce-90f6-4159-9c39-e9ad30020429'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,78e921ce-90f6-4159-9c39-e9ad30020429,2128,,,,3895232,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,101,Bayer Leverkusen,904,['f5672a2b-8f90-47e7-a30e-cbeae543a000'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,2.768998,,,,,,,,,,,,,50c22c33-b812-4a3b-9c03-0175309809ed,5,,,"[61.0, 40.1]",3895232,0,,,,,2.9540632,,Right Foot,,,,"[27.8, 46.4]",,Ground Pass,,33.792454,,,Manuel Neuer,5570.0,,,,,,Kick Off,1,From Kick Off,Leroy Sané,3053.0,Right Attacking Midfield,2,Bayern Munich,169,['13c196fe-41c3-4c6d-b932-ae273d6366ae'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.852,Pass,
,,,,,,,,,,,,,,,,,3.368181,,,,,,,,,,,,,af3974ac-6705-4559-bf03-383e6c11415f,9,,,"[27.8, 47.6]",3895232,0,,,,,0.29293853,,Right Foot,,,,"[83.5, 64.4]",,High Pass,,58.178432,Incomplete,,,,,,,,,,1,From Kick Off,Manuel Neuer,5570.0,Goalkeeper,2,Bayern Munich,169,"['1e83a8d2-f6c6-4672-8156-713b711f17ab', 'e59874f7-65e7-45bd-8922-c4e916dffea7']",5,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:05.246,Pass,True
,,,,,,,,,,,,,,,,,2.039149,,,,,,,,,,,,,1e83a8d2-f6c6-4672-8156-713b711f17ab,10,,,"[36.6, 15.7]",3895232,0,,,,True,-0.5724598,,,,,,"[50.1, 7.0]",,Low Pass,,16.06051,Incomplete,,Florian Wirtz,40724.0,,,,,,Recovery,1,From Kick Off,Alejandro Grimaldo García,10336.0,Left Wing Back,2,Bayern Munich,169,"['abca18c7-40c4-4006-8f40-f91f94461503', 'af3974ac-6705-4559-bf03-383e6c11415f', 'd6c082fc-5a3b-42ba-afb4-109e05cd82df', 'f77e9768-d08f-434c-9859-735cecca89a9']",8,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:08.614,Pass,True
,,,,,,,,,,,,,,,,,2.953583,,,,,,,,,,,,,2ce93214-095d-481c-9446-cac4e367133f,16,,,"[55.6, 78.6]",3895232,0,,,,,-2.5150652,,Left Foot,,,,"[24.1, 55.8]",,Ground Pass,,38.8856,,,Manuel Neuer,5570.0,,,,,,,1,From Kick Off,Dayotchanculle Upamecano,8519.0,Right Center Back,2,Bayern Munich,169,"['78d9fe97-33c1-458d-a5ea-e4f76eb8fb58', 'ef295cce-1fe6-4cea-b8a6-73894fc3479f']",13,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:13.273,Pass,True
,,,,,,,,,,,,,,,,,1.631504,,,,,,,,,,,,,751e5d52-98e9-4de0-bfa2-82a77a5ec5c2,20,,,"[24.0, 56.2]",3895232,0,,,,,-1.1761878,,Right Foot,,,,"[40.2, 17.3]",,Ground Pass,,42.138462,,,Min Jae Kim,43565.0,,,,,,,1,From Kick Off,Manuel Neuer,5570.0,Goalkeeper,2,Bayern Munich,169,"['018d5e68-06ad-4320-9c5e-5ba1b54c116e', 'df7d499c-c9b5-46bc-b338-408069cb1d36']",16,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:16.267,Pass,True
,,,,,,,,,,,,,,,,,2.428877,,,,,,,,,,,,,0202f997-46bc-47af-99f9-0bc571d96046,24,,,"[39.1, 14.3]",3895232,0,,,,,2.3956995,,Right Foot,,,,"[12.8, 38.6]",,Ground Pass,,35.80754,,,Manuel Neuer,5570.0,,,,,,,1,From Kick Off,Min Jae Kim,43565.0,Left Center Back,2,Bayern Munich,169,"['4177404e-b001-4350-9a8e-5e519cc2e200', 'db4c46bd-c6e1-4733-b936-6f54fe0768e1']",19,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:19.375,Pass,True
