50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.944699,,,,,,,,,,,,,,0084eb5f-60eb-4cfe-a009-457ce32469f5,16,,,"[35.9, 13.8]",3895258,0,,,,,-0.8876049,,Left Foot,,,"[42.9, 5.2]",,Low Pass,,11.088733,,,Alejandro Grimaldo García,10336.0,,,,,,Recovery,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,3,Bayer Leverkusen,904,"['b69042ca-fb93-47af-add3-0b87ff036899', 'bb5164dd-3108-4186-ab59-e5b9b8ee658d']",12,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:12.178,Pass,
,,,,,,,,,,,,,,,,,0.732515,,,,,,,,,,,,,,ae117cee-4cb2-4d51-8da8-4a7154476a79,21,,,"[42.0, 6.5]",3895258,0,,,,,3.1019309,,Left Foot,,,"[29.4, 7.0]",,Ground Pass,,12.609917,,,Piero Martín Hincapié Reyna,38004.0,,,,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,3,Bayer Leverkusen,904,"['27e1bed5-a13b-4f7c-9daa-61d59055bc88', '5b93bc7c-0c5f-42f0-abb1-0133feaaa62d', '96d1f49e-c4b9-4d90-bef6-f899c6a0d6d0']",13,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:13.563,Pass,True
,,,,,,,,,,,,,,,,,1.328903,,,,,,,,,,,,,,dfa3c80f-0e05-4899-94b7-4a7cb131250d,24,,,"[18.2, 22.0]",3895258,0,,,,,1.522447,,Left Foot,,,"[19.1, 40.6]",,Ground Pass,,18.621761,,,Jonathan Tah,8221.0,,,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,3,Bayer Leverkusen,904,['3a3f750b-9f01-4037-b5ba-ee4d776afd1b'],17,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:17.959,Pass,
,,,,,,,,,,,,,,,,,1.364389,,,,,,,,,,,,,,3133a609-c43a-4be4-a398-e09b04998d84,27,,,"[30.1, 49.0]",3895258,0,,,,,-1.7203561,,Right Foot,,,"[27.9, 34.4]",,Ground Pass,,14.764823,,,Piero Martín Hincapié Reyna,38004.0,,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,3,Bayer Leverkusen,904,['9c6d7c1a-0ab0-4e01-9378-84d10b8159df'],23,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:23.549,Pass,
,,,,,,,,,,,,,,,,,1.612391,,,,,,,,,,,,,,a479f444-7174-46ec-ab06-fd176573a5fb,30,,,"[28.1, 33.5]",3895258,0,,,,,-0.8624729,,Left Foot,,,"[51.4, 6.3]",,Ground Pass,,35.81522,,,Alejandro Grimaldo García,10336.0,,,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,3,Bayer Leverkusen,904,['ff7b36a9-4224-4484-8f29-1631c5c83abd'],26,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:26.550,Pass,
,,,,,,,,,,,,,,,,,1.297589,,,,,,,,,,,,,,b5022efd-2dc8-4f0e-a5ca-13a9332980d2,34,,,"[56.4, 5.2]",3895258,0,,,,,2.936852,,Left Foot,,,"[38.1, 9.0]",,Ground Pass,,18.690372,,,Piero Martín Hincapié Reyna,38004.0,,,,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,3,Bayer Leverkusen,904,"['33285a61-db02-479d-8a14-a93a51ca3c77', 'db978313-c4cf-4654-99bf-1f5ec0e166a7']",29,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:29.634,Pass,True
,,,,,,,,,,,,,,,,,1.750234,,,,,,,,,,,,,,8763807c-d14d-4965-b5b0-b0f2d5802757,37,,,"[29.9, 9.7]",3895258,0,,,,,1.659846,,Left Foot,,,"[26.9, 43.3]",,Ground Pass,,33.73366,,,Jonathan Tah,8221.0,,,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,3,Bayer Leverkusen,904,['bd40951e-bb1e-4d4f-8730-cf3451daf4ad'],32,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:32.553,Pass,
,,,,,,,,,,,,,,,,,1.108164,,,,,,,,,,,,,,0006e082-cade-4a81-9486-fc4aaa55230d,40,,,"[34.0, 51.1]",3895258,0,,,,,1.2259891,,Left Foot,,,"[39.1, 65.3]",,Ground Pass,,15.088075,,,Josip Stanišić,49337.0,,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,3,Bayer Leverkusen,904,['d60f7698-2b24-4a0b-b18c-a8fb685743c3'],37,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:37.347,Pass,
,,,,,,,,,,,,,,,,,1.056863,,,,,,,,,,,,,,2aeee4d5-b5ee-4c0f-bd67-f52af120687f,43,,,"[40.6, 66.1]",3895258,0,,,,,-2.2142975,,Right Foot,,,"[34.0, 57.3]",,Ground Pass,,11.0,,,Jonathan Tah,8221.0,,,,,,,1,Regular Play,Josip Stanišić,49337.0,Right Center Back,3,Bayer Leverkusen,904,['e59cccae-a61e-459c-98cf-f45605964035'],39,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:39.619,Pass,
,,,,,,,,,,,,,,,,,1.644329,,,,,,,,,,,,,,07e1de50-45b4-4625-9df1-3be9cad0b02c,47,,,"[32.2, 58.4]",3895258,0,,,,,-1.7462463,,Right Foot,,,"[28.3, 36.4]",,Ground Pass,,22.343008,,,Piero Martín Hincapié Reyna,38004.0,,,,,,,1,Regular Play,Jonathan Tah,8221.0,Center Back,3,Bayer Leverkusen,904,"['31d0d664-ddd1-4826-96b5-bb7e0e362008', 'f2e50295-600b-4dce-a8e8-916366c387d3']",41,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:41.214,Pass,True
