50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,08af0341-7fce-46c1-a1bc-502da0286cf3,1,,,,3895180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c9f6e38c-4838-432e-984b-b4cd03c84c30,2,,,,3895180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 4440, 'name': 'Kevin Trapp'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 33088, 'name': 'Lucas Silva Melo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 35}, {'player': {'id': 13294, 'name': 'Robin Koch'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 41593, 'name': 'Willian Joel Pacho Tenorio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 23658, 'name': 'Aurélio Gabriel Ulineia Buta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 24}, {'player': {'id': 48031, 'name': 'Niels Nkounkou'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 29}, {'player': {'id': 143728, 'name': 'Hugo Larsson'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 8227, 'name': 'Mario Götze'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 28346, 'name': 'Eric Junior Dina Ebimbe'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 39070, 'name': 'Ansgar Knauff'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 36}, {'player': {'id': 217047, 'name': 'Fares Chaïbi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Eintracht Frankfurt,184,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1002f1a6-91c1-4bb9-98c6-142375e1e0ce,3,,,,3895180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['e5d055dc-6cae-4090-b00b-3cf6f7a6e767'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e5d055dc-6cae-4090-b00b-3cf6f7a6e767,4,,,,3895180,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['1002f1a6-91c1-4bb9-98c6-142375e1e0ce'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2965dde6-0787-4de9-ab9e-051340c769d9,2168,,,,3895180,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Bayer Leverkusen,904,['e9f0ef5d-7a0c-48d1-8545-786bce74766e'],0,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e9f0ef5d-7a0c-48d1-8545-786bce74766e,2169,,,,3895180,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,95,Bayer Leverkusen,904,['2965dde6-0787-4de9-ab9e-051340c769d9'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.237136,,,,,,,,,,,,,7adb7085-8fe4-454b-86ce-b6e507d8de76,5,,,"[60.0, 40.0]",3895180,0,,,,2.9646904,,Right Foot,,,,"[42.1, 43.2]",,Ground Pass,,18.183784,,,,Odilon Kossonou,27133.0,,,,,Kick Off,1,From Kick Off,Exequiel Alejandro Palacios,28268.0,Left Defensive Midfield,2,Bayer Leverkusen,904,['7ba6a7f3-834a-4219-a43a-e8f59fd66579'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.945,Pass,
,,,,,,,,,,,,,,,,,2.212786,,,,,,,,,,,,,ab7e8cab-7a65-4635-bb8e-1f96b091e905,8,,,"[40.4, 43.2]",3895180,0,,,,-1.2793396,,Right Foot,,,,"[47.0, 21.2]",,Ground Pass,,22.968674,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,From Kick Off,Odilon Kossonou,27133.0,Right Center Back,2,Bayer Leverkusen,904,['327dcc34-dcf2-4a67-9d7a-7b0ace1113f6'],2,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:02.974,Pass,
,,,,,,,,,,,,,,,,,0.838709,,,,,,,,,,,,,380449f1-52a3-496e-9fce-2a4ad42edc03,11,,,"[50.2, 17.2]",3895180,0,,,,0.33205947,,Right Foot,,,,"[61.8, 21.2]",,Ground Pass,,12.270289,,,,Granit Xhaka,3500.0,,,,,,1,From Kick Off,Edmond Fayçal Tapsoba,30606.0,Left Center Back,2,Bayer Leverkusen,904,['c4c07f19-659b-4978-8d07-02cf024ad69d'],6,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:06.590,Pass,
,,,,,,,,,,,,,,,,,2.177336,,,,,,,,,,,,,ae8d2e1b-ca16-4aa2-9527-2e45a1c28f0f,14,,,"[61.8, 21.2]",3895180,0,,,,2.3637133,,Left Foot,,,,"[35.0, 47.6]",,Ground Pass,,37.619144,,,,Odilon Kossonou,27133.0,,,,,,1,From Kick Off,Granit Xhaka,3500.0,Right Defensive Midfield,2,Bayer Leverkusen,904,['35b3718c-6188-42db-af3b-abf2ada06d64'],7,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:07.500,Pass,
,,,,,,,,,,,,,,,,,1.908406,,,,,,,,,,,,,86dd8e2c-7343-4061-9a78-703b1ab9d3c7,17,,,"[30.1, 49.9]",3895180,0,,,,0.4815902,,Right Foot,,,,"[54.4, 62.6]",,Ground Pass,,27.418608,,,,Jonas Hofmann,8804.0,,,,,,1,From Kick Off,Odilon Kossonou,27133.0,Right Center Back,2,Bayer Leverkusen,904,['31a78142-e209-4b2c-b0ad-f4b6988b2289'],11,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:11.239,Pass,
,,,,,,,,,,,,,,,,,1.570153,,,,,,,,,,,,,2232d8b1-1e48-448e-a59b-990b34e02d94,20,,,"[62.2, 65.2]",3895180,0,,,,0.3296244,,Right Foot,,,,"[81.2, 71.7]",,Ground Pass,,20.081085,,Incomplete,,Jeremie Frimpong,32712.0,,,,,,1,From Kick Off,Jonas Hofmann,8804.0,Right Attacking Midfield,2,Bayer Leverkusen,904,"['1188d2e7-9eb0-4097-9848-9df6b57f935f', '8aeef19c-7474-4716-b546-56fbedff7f39']",14,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:14.771,Pass,
