50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,207c41be-4905-457d-af38-e356b67981de,1,,,3895060,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 29003, 'name': 'Jonas Omlin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9174, 'name': 'Marvin Friedrich'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 29595, 'name': 'Ko Itakura'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 8068, 'name': 'Maximilian Wöber'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 39}, {'player': {'id': 7198, 'name': 'Franck Honorat'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 9}, {'player': {'id': 36830, 'name': 'Joseph Scally'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 29}, {'player': {'id': 8816, 'name': 'Julian Weigl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 12323, 'name': 'Florian Neuhaus'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25039, 'name': 'Nathan Ngoumou Minpole'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 3230, 'name': 'Alassane Pléa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 45567, 'name': 'Tomáš Čvančara'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 31}]}",Borussia Mönchengladbach,185,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,fefef503-f3cc-4d41-9b3f-9ddc57b6a93b,2,,,3895060,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2f46ad65-50a4-4834-9bd9-86a61f034234,3,,,3895060,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['3b3a42a2-e2a1-49f8-9b77-5ec638303a06'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3b3a42a2-e2a1-49f8-9b77-5ec638303a06,4,,,3895060,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Borussia Mönchengladbach,185,['2f46ad65-50a4-4834-9bd9-86a61f034234'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,598ff492-ebdc-45ba-98cd-5b102d79a05d,2072,,,3895060,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,100,Borussia Mönchengladbach,185,['7ce340c8-8333-4565-ac34-2033792ded6a'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7ce340c8-8333-4565-ac34-2033792ded6a,2073,,,3895060,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,,,,100,Borussia Mönchengladbach,185,['598ff492-ebdc-45ba-98cd-5b102d79a05d'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.274192,,,,,,,,,,,,,,69bdfb9b-ba46-41c8-814a-98f0a43c6501,5,,"[61.0, 40.1]",3895060,0,,,,,2.8357139,,Right Foot,,,,"[40.1, 46.7]",,Ground Pass,,21.917345,,,Ko Itakura,29595.0,,,,,Kick Off,1,From Kick Off,Alassane Pléa,3230.0,Left Wing,2,Borussia Mönchengladbach,185,['ceaa47dd-e3bf-4016-ade0-ed3d54afe971'],0,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:00.725,Pass,
,,,,,,,,,,,,,,,,2.844089,,,,,,,,,,,,,,748f1afc-2300-4252-bc9b-f161b5e7c6ef,8,,"[39.9, 46.7]",3895060,0,,,,,0.12765454,,Right Foot,,,,"[92.1, 53.4]",,High Pass,,52.628223,Incomplete,,Tomáš Čvančara,45567.0,,,,,,1,From Kick Off,Ko Itakura,29595.0,Center Back,2,Borussia Mönchengladbach,185,"['33fdf203-b847-4fa5-9021-5f1875717796', 'c744951c-c660-4c83-8083-049bf85c8cbd']",3,,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:03.462,Pass,
,,,,,,,,,,,,,,,,1.103374,,,,,,,,,,,,,,316981db-6e7f-44a0-999e-b56d5da36fd6,16,,"[48.2, 27.8]",3895060,0,,,,,3.100799,,Right Foot,,,,"[33.5, 28.4]",,Low Pass,,14.71224,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,3,Bayer Leverkusen,904,"['4c6fb264-6641-4514-9dfb-96a0f17f3899', 'b767f8cf-4d2d-45c2-befd-2acd1c356621']",12,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:12.062,Pass,True
,,,,,,,,,,,,,,,,0.977504,,,,,,,,,,,,,,5ea481e0-e6e1-4897-b6e0-78445211ad3d,19,,"[36.2, 28.9]",3895060,0,,,,,-1.2508541,,Right Foot,,,,"[41.7, 12.3]",,Ground Pass,,17.487425,,,Exequiel Alejandro Palacios,28268.0,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,3,Bayer Leverkusen,904,['90ec0daf-d61f-4501-ab28-c24d33c3ac5f'],20,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:20.177,Pass,
