50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7ecc7f8f-9083-43c0-a477-17edf95f45cb,1,,,3895167,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 20662, 'name': 'Alexander Nübel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 8538, 'name': 'Waldemar Anton'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8226, 'name': 'Dan-Axel Zagadou'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 12407, 'name': 'Maximilian Mittelstädt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 7}, {'player': {'id': 10012, 'name': 'Josha Mamadou Karaboue Vagnoman'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 4}, {'player': {'id': 23614, 'name': 'Chris Führich'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 27}, {'player': {'id': 20947, 'name': 'Atakan Karazor'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 39360, 'name': 'Angelo Stiller'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 131243, 'name': 'Deniz Undav'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 26}, {'player': {'id': 45115, 'name': 'Enzo Millot'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 9102, 'name': 'Serhou Guirassy'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",VfB Stuttgart,174,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b62bcab6-691b-4cad-b059-e15f1aa45d8e,2,,,3895167,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,,0,,,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 33401, 'name': 'Amine Adli'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b45fb98d-4e65-4ca0-8047-2a68d2e72ff5,3,,,3895167,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['77d8f56f-754c-424a-9d29-b3639f0fdf48'],0,,,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,77d8f56f-754c-424a-9d29-b3639f0fdf48,4,,,3895167,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,VfB Stuttgart,174,['b45fb98d-4e65-4ca0-8047-2a68d2e72ff5'],0,,,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,88e39847-8eb9-4ab9-9ed6-2eeb8ee1bf92,2075,,,3895167,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,VfB Stuttgart,174,['1cf4a093-5647-49b1-a85b-958de749f56b'],0,,,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1cf4a093-5647-49b1-a85b-958de749f56b,2076,,,3895167,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,88,VfB Stuttgart,174,['88e39847-8eb9-4ab9-9ed6-2eeb8ee1bf92'],0,,,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.761685,,,,,,,,,,,,,,a428c0cf-6b83-4b74-9349-63e11905fbdd,5,,"[61.0, 40.1]",3895167,0,,,,3.0361826,,Right Foot,,,"[31.7, 43.2]",,Ground Pass,,29.463537,,,Dan-Axel Zagadou,8226.0,,,,,,Kick Off,1,From Kick Off,Deniz Undav,131243.0,Right Attacking Midfield,2,VfB Stuttgart,174,['ad743c9a-a180-4fa3-b356-2d0b39d0c3b5'],0,,,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:00.725,Pass,
,,,,,,,,,,,,,,,,,,3.479035,,,,,,,,,,,,,,1a3322d1-b523-48c3-921c-19d93e640f2f,8,,"[34.3, 43.9]",3895167,0,,,,-0.40228876,,Left Foot,,,"[90.0, 20.2]",,High Pass,,60.53247,,,Serhou Guirassy,9102.0,,,,,,,1,From Kick Off,Dan-Axel Zagadou,8226.0,Center Back,2,VfB Stuttgart,174,['29744f12-6ac4-460c-8eca-4393bf3d2586'],4,,,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:04.005,Pass,
,,,,,,,,,,,,,,,,,,0.655721,,,,,,,,,,,,,,970137a7-5db4-46ab-83b1-641414d14270,12,,"[86.3, 20.2]",3895167,0,,,,3.068552,,Right Foot,,,"[82.2, 20.5]",,Ground Pass,,4.110961,,,Enzo Millot,45115.0,,,,,,,1,From Kick Off,Serhou Guirassy,9102.0,Center Forward,2,VfB Stuttgart,174,['f172f2ff-bb3b-4645-b614-d096ab48f80a'],8,,,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:08.644,Pass,
,,,,,,,,,,,,,,,,,,0.638636,,,,,,,,,,,,,,592f8081-954e-4a54-9b6e-ecd8eaa2cb98,15,,"[82.9, 16.4]",3895167,0,,,,-0.7853982,,Left Foot,,,"[91.1, 8.2]",,Ground Pass,,11.596551,,,Chris Führich,23614.0,,,,,,,1,From Kick Off,Enzo Millot,45115.0,Left Attacking Midfield,2,VfB Stuttgart,174,['f8ebb26b-deb2-4aec-a127-d571d277d339'],10,,,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:10.549,Pass,
