50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,664c81bb-315d-4de4-86d5-f326eebf0684,1,,,3895074,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 8208, 'name': 'Sven Ulreich'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 26}, {'player': {'id': 8506, 'name': 'Konrad Laimer'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 27}, {'player': {'id': 8519, 'name': 'Dayotchanculle Upamecano'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 43565, 'name': 'Min Jae Kim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 12365, 'name': 'Alphonso Davies'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5579, 'name': 'Joshua Kimmich'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 6324, 'name': 'Leon Goretzka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3053, 'name': 'Leroy Sané'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 10}, {'player': {'id': 5562, 'name': 'Thomas Müller'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 8400, 'name': 'Serge Gnabry'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 10955, 'name': 'Harry Kane'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bayern Munich,169,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3dd463f6-b445-407d-8120-bf6aeab35526,2,,,3895074,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,77f9b3e5-e0e4-4032-8228-089aa0dd578b,3,,,3895074,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['e627413d-5de5-402a-9bb3-90c4cd3b65ec'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e627413d-5de5-402a-9bb3-90c4cd3b65ec,4,,,3895074,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayern Munich,169,['77f9b3e5-e0e4-4032-8228-089aa0dd578b'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5ed07ea8-f51a-487f-a8a7-6a83d75aff8a,2199,,,3895074,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Bayern Munich,169,['bce11f2a-d33a-44eb-9f03-88ddef1edbd1'],0,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bce11f2a-d33a-44eb-9f03-88ddef1edbd1,2200,,,3895074,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,95,Bayern Munich,169,['5ed07ea8-f51a-487f-a8a7-6a83d75aff8a'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.03159,,,,,,,,,,,,,16252ec8-ab09-4119-bcf6-7fd6524f9128,5,,"[60.0, 40.0]",3895074,0,,,,,2.8700597,,Left Foot,,"[42.4, 44.9]",,Ground Pass,,18.269373,,,,Odilon Kossonou,27133.0,,,,,Kick Off,1,From Kick Off,Granit Xhaka,3500.0,Left Defensive Midfield,2,Bayer Leverkusen,904,['b306ec30-5755-4017-861a-670617955a41'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.332,Pass,
,,,,,,,,,,,,,,,,,,,1.633207,,,,,,,,,,,,,d6b118e9-dee4-4f3a-9046-2a086e85ca6b,8,,"[42.4, 42.4]",3895074,0,,,,,-1.4032638,,Right Foot,,"[47.0, 15.2]",,Ground Pass,,27.58623,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,From Kick Off,Odilon Kossonou,27133.0,Right Center Back,2,Bayer Leverkusen,904,['4f14f36d-c3c1-45d5-9c94-a65f9489d40f'],2,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:02.521,Pass,
,,,,,,,,,,,,,,,,,,,0.718247,,,,,,,,,,,,,d4683bb7-cdad-4a7d-9851-743212fba939,11,,"[49.1, 16.6]",3895074,0,,,,,0.7977432,,Right Foot,,"[57.1, 24.8]",,Ground Pass,,11.456003,,,,Robert Andrich,9195.0,,,,,,1,From Kick Off,Edmond Fayçal Tapsoba,30606.0,Left Center Back,2,Bayer Leverkusen,904,['39fe9846-f889-4790-956c-d8df633e77d5'],6,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:06.429,Pass,
,,,,,,,,,,,,,,,,,,,2.066083,,,,,,,,,,,,,e8aa6b61-931b-4bf8-b329-cb66ffbd4313,14,,"[57.1, 24.7]",3895074,0,,,,,3.1382143,,Right Foot,,"[27.5, 24.8]",,Ground Pass,,29.600168,,,,Jonathan Tah,8221.0,,,,,,1,From Kick Off,Robert Andrich,9195.0,Right Defensive Midfield,2,Bayer Leverkusen,904,['9d075ad4-9f9f-4e6f-a093-5919a1a920b3'],7,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:07.181,Pass,
