50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,7eb000ee-2ef0-462a-bd57-e4320f459c68,1,,,3895067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d593adb3-8980-46f6-b384-4a91f4ec01ba,2,,,3895067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 8919, 'name': 'Marcel Schuhen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 35578, 'name': 'Christoph Klarer'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 11814, 'name': 'Christoph Zimmermann'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 15869, 'name': 'Thomas Poppler Isherwood'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 15797, 'name': 'Matthias Bader'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 30742, 'name': 'Fabian Nürnberger'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 15}, {'player': {'id': 39160, 'name': 'Bartol Franjić'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 9225, 'name': 'Marvin Mehlem'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 9222, 'name': 'Fabian Holland'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 48655, 'name': 'Luca Pfeiffer'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 24}, {'player': {'id': 42543, 'name': 'Oscar Vilhelmsson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 29}]}",Darmstadt 98,872,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a40403c7-74d7-45e6-ba91-5ebd6c313d8e,3,,,3895067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['fae27a68-42f4-44cf-8fc0-8d4126407ae3'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,fae27a68-42f4-44cf-8fc0-8d4126407ae3,4,,,3895067,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['a40403c7-74d7-45e6-ba91-5ebd6c313d8e'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,633e6072-df60-4a6b-b52e-4a48123c22e5,2020,,,3895067,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,75,Bayer Leverkusen,904,['9d972486-6ab2-4db4-9311-6a6926ff11fb'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9d972486-6ab2-4db4-9311-6a6926ff11fb,2021,,,3895067,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,75,Bayer Leverkusen,904,['633e6072-df60-4a6b-b52e-4a48123c22e5'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.899274,,,,,,,,,,,,ad010a23-88fe-43af-8b5c-8cd1772842ac,5,,"[61.0, 40.1]",3895067,0,,,,,-3.1080232,,Right Foot,,,,"[34.2, 39.2]",,Ground Pass,,26.815107,,,,,Christoph Zimmermann,11814.0,,,,,Kick Off,1,From Kick Off,Marvin Mehlem,9225.0,Right Center Midfield,2,Darmstadt 98,872,['0e2c9eac-6504-4dae-9939-5f2920e7102d'],0,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:00.362,Pass,
,,,,,,,,,,,,,,,,,2.422514,,,,,,,,,,,,aabb516d-6ede-4543-9394-967c0499af8a,8,,"[42.2, 29.6]",3895067,0,,,,,0.6524129,,Left Foot,,,,"[85.0, 62.3]",,High Pass,,53.86214,,,,,Christoph Klarer,35578.0,,,,,,1,From Kick Off,Christoph Zimmermann,11814.0,Center Back,2,Darmstadt 98,872,['b2d11f7f-8c0d-4533-b2a3-843e981238ad'],5,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:05.661,Pass,
,,,,,,,,,,,,,,,,,2.611578,,,,,,,,,,,,320e0bbb-8e37-429c-aa29-d58d9ae85075,10,,"[85.0, 62.3]",3895067,0,,,,,-1.1071488,,Head,,,,"[95.5, 41.3]",,High Pass,,23.478714,,,,,Oscar Vilhelmsson,42543.0,,,,,,1,From Kick Off,Christoph Klarer,35578.0,Right Center Back,2,Darmstadt 98,872,['08b17ce3-0fb5-45ee-b37f-1dff007b694a'],8,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:08.083,Pass,
,,,,,,,,,,,,,,,,,0.831497,,,,,,,,,,,,7cba4468-f2eb-4352-94e8-2474e078f085,12,,"[95.5, 41.3]",3895067,0,,,,True,0.0,,,,,,"[102.6, 41.3]",,Low Pass,,7.1,,,Incomplete,,Luca Pfeiffer,48655.0,,,,,,1,From Kick Off,Oscar Vilhelmsson,42543.0,Left Center Forward,2,Darmstadt 98,872,"['3a82e4ae-0527-4391-a6c1-23c5e4ace661', '43134fef-e6aa-4650-9198-9da79f955c83', 'e62a0339-6478-4758-9dda-9c3a672cda2b']",10,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:00:10.793,Pass,True
,,,,,,,,,,,,,,,,,0.764285,,,,,,,,,,,,30439125-dd53-46d2-95b0-e188be25443c,18,,"[34.8, 30.3]",3895067,0,,,,,2.0845413,,Left Foot,,,,"[26.9, 44.3]",,Ground Pass,,16.075136,,,,,Jonathan Tah,8221.0,,,,,Free Kick,1,From Free Kick,Granit Xhaka,3500.0,Left Defensive Midfield,3,Bayer Leverkusen,904,['a815f844-803f-46d0-98ef-cb7d3aca3c8b'],24,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:24.745,Pass,
