50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ea1e6876-4179-4750-8231-55c3d6ec8001,1,,,3895113,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 13309, 'name': 'Pavao Pervan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 20814, 'name': 'Sebastiaan Bornauw'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 48500, 'name': 'Moritz Jenz'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 22314, 'name': 'Maxence Lacroix'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 12630, 'name': 'Ridle Bote Baku'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 20}, {'player': {'id': 16554, 'name': 'Joakim Mæhle'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8235, 'name': 'Maximilian Arnold'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 8231, 'name': 'Yannick Gerhardt'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 31}, {'player': {'id': 15879, 'name': 'Mattias Svanberg'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 21261, 'name': 'Jonas Older Wind'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 41783, 'name': 'Tiago Barreiros de Melo Tomás'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Wolfsburg,179,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a88295ad-33e8-4427-872c-eba006d8a0ef,2,,,3895113,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49337, 'name': 'Josip Stanišić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 33401, 'name': 'Amine Adli'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,6d6ab3f4-8136-407c-a92f-3f8a6549abdd,3,,,3895113,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['51a7253e-31ed-49f5-9494-f5ab0d2ee039'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,51a7253e-31ed-49f5-9494-f5ab0d2ee039,4,,,3895113,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Wolfsburg,179,['6d6ab3f4-8136-407c-a92f-3f8a6549abdd'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,53a91643-fcc7-47c9-b806-f4583d8d5833,2115,,,3895113,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Bayer Leverkusen,904,['8ba080d4-876f-47e4-a320-62ab93ac8bbc'],0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8ba080d4-876f-47e4-a320-62ab93ac8bbc,2116,,,3895113,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Bayer Leverkusen,904,['53a91643-fcc7-47c9-b806-f4583d8d5833'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,,1.625356,,,,,,,,,,,,ac5aac4c-5a0e-44c2-97ca-ec38bdb05917,5,,"[60.0, 40.0]",3895113,0,,,,,-3.1167016,,Right Foot,,,"[35.9, 39.4]",,Ground Pass,,24.107468,,,,,Josip Stanišić,49337.0,,,,,Kick Off,1,From Kick Off,Exequiel Alejandro Palacios,28268.0,Right Defensive Midfield,2,Bayer Leverkusen,904,['d54cc444-c9f7-4e31-820a-28e0ad5d8ec4'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.913,Pass,
,,,,,,,,,,,,,,,,,,,,1.349706,,,,,,,,,,,,042f1fd2-3cd4-439a-97c4-9275f435f098,8,,"[36.3, 39.2]",3895113,0,,,,,-1.482271,,Right Foot,,,"[37.8, 22.3]",,Ground Pass,,16.966438,,,,,Jonathan Tah,8221.0,,,,,,1,From Kick Off,Josip Stanišić,49337.0,Right Center Back,2,Bayer Leverkusen,904,['c93d7723-7a1c-4be8-97e1-0babb1be6f11'],4,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:04.045,Pass,
,,,,,,,,,,,,,,,,,,,,1.136288,,,,,,,,,,,,3d52c020-9bad-49c3-8ae7-05c40e223268,11,,"[37.8, 22.3]",3895113,0,,,,,-1.3339475,,Right Foot,,,"[41.3, 7.8]",,Ground Pass,,14.916434,,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,From Kick Off,Jonathan Tah,8221.0,Center Back,2,Bayer Leverkusen,904,['ff2841c0-d955-494b-a7a9-ac8bbb82ad73'],5,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:05.943,Pass,
,,,,,,,,,,,,,,,,,,,,1.108761,,,,,,,,,,,,45ee08ea-fdab-4a8e-8114-f0dec4a5e815,14,,"[41.3, 8.0]",3895113,0,,,,,-0.38568097,,Right Foot,,,"[54.6, 2.6]",,Ground Pass,,14.354442,,,,,Alejandro Grimaldo García,10336.0,,,,,,1,From Kick Off,Edmond Fayçal Tapsoba,30606.0,Left Center Back,2,Bayer Leverkusen,904,['38932aa9-ad68-4202-bc2b-cca968001831'],7,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:07.800,Pass,
