50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.830422,,,,,,,,,,,514b0134-ec04-48af-959d-0eef4bccbce2,15,,"[76.9, 45.1]",3895275,0,,,,True,-0.11343499,,,,,"[84.8, 44.2]",,High Pass,,7.9511003,,Incomplete,Lucas Höler,12418.0,,,,Recovery,1,From Kick Off,Nicolas Höfler,8939.0,Right Defensive Midfield,2,Freiburg,183,"['1a7f11bf-e0bb-4432-9dfa-02602931d6e8', '9ef74a9b-f505-4d47-a596-a67eaab3a5d7', 'acbf78fa-7d95-4b42-9d26-b0273d835258', 'ec2ddd3e-b5d0-496b-9d16-35702324f21a']",17,,,,,,,,,,,,,,,,,Freiburg,183,00:00:17.370,Pass,True
,,,,,,,,,,,,,,,,0.103229,,,,,,,,,,,ec2ddd3e-b5d0-496b-9d16-35702324f21a,18,,"[35.3, 35.9]",3895275,0,,,,,-0.057080783,,Right Foot,,,"[38.8, 35.7]",,High Pass,,3.5057096,,Incomplete,Florian Wirtz,40724.0,,,,Recovery,1,From Kick Off,Exequiel Alejandro Palacios,28268.0,Left Defensive Midfield,2,Freiburg,183,"['514b0134-ec04-48af-959d-0eef4bccbce2', 'b4b077ea-e431-4978-be34-73d39321e142', 'd2f9538b-c402-40e7-94a2-a08e51cddf9a']",19,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:19.200,Pass,
,,,,,,,,,,,,,,,,1.965427,,,,,,,,,,,5dbe107d-826f-4ba4-b8d9-4d8d9d60f167,21,,"[74.9, 51.9]",3895275,0,,,,True,-0.17909478,,,,,"[86.5, 49.8]",,High Pass,,11.788554,,Incomplete,Roland Sallai,19316.0,,,,Recovery,1,From Kick Off,Kiliann Sildillia,79429.0,Right Center Back,2,Freiburg,183,"['3a1442a8-5373-4d0e-8107-92ce6dc91ae3', '4b44e694-2724-427c-b1f5-d624189e9d04', '8dd688af-4ece-42fb-bb58-8befdcbc5863']",20,,,,,,,,,,,,,,,,,Freiburg,183,00:00:20.583,Pass,True
,,,,,,,,,,,,,,,,1.025405,,,,,,,,,,,4b44e694-2724-427c-b1f5-d624189e9d04,24,,"[33.6, 30.3]",3895275,0,,,,,-1.7101315,,Head,,,"[31.3, 13.9]",,Low Pass,,16.560495,,,Alejandro Grimaldo García,10336.0,,,,Recovery,1,Regular Play,Exequiel Alejandro Palacios,28268.0,Left Defensive Midfield,3,Bayer Leverkusen,904,"['4265d318-ad26-4323-9c81-cf904daed60e', '5dbe107d-826f-4ba4-b8d9-4d8d9d60f167']",22,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:22.549,Pass,
,,,,,,,,,,,,,,,,1.463662,,,,,,,,,,,47b5ed03-00b3-42f3-bc6b-f9a81958d561,26,,"[31.3, 13.9]",3895275,0,,,,,2.942152,,Left Foot,,,"[21.9, 15.8]",,Ground Pass,,9.590099,,,Piero Martín Hincapié Reyna,38004.0,,,,,1,Regular Play,Alejandro Grimaldo García,10336.0,Left Wing Back,3,Bayer Leverkusen,904,['b0493b0a-d642-4fe8-b850-2015e5410cf3'],23,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:23.574,Pass,
,,,,,,,,,,,,,,,,1.668242,,,,,,,,,,,f4b46b20-16f4-4628-b0bc-867e5aca7b9c,30,,"[18.0, 9.9]",3895275,0,,,,,0.17744516,,Left Foot,,,"[50.9, 15.8]",,High Pass,,33.424843,,Incomplete,Patrik Schick,7044.0,,,,,1,Regular Play,Piero Martín Hincapié Reyna,38004.0,Left Center Back,3,Bayer Leverkusen,904,"['2037218a-2836-4518-a8fc-4f68989ff2a5', 'f9d8e03e-f935-47e2-9428-ee0e0f434e10']",26,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:26.110,Pass,
,,,,,,,,,,,,,,,,1.094384,,,,,,,,,,,f9d8e03e-f935-47e2-9428-ee0e0f434e10,32,,"[69.2, 64.3]",3895275,0,,,,,0.072599456,,Head,,,"[80.2, 65.1]",,Low Pass,,11.029053,,,Kiliann Sildillia,79429.0,,,,Recovery,1,Regular Play,Nicolas Höfler,8939.0,Right Defensive Midfield,3,Bayer Leverkusen,904,"['79df339d-afbe-4531-bfa9-5915e50856f4', 'f4b46b20-16f4-4628-b0bc-867e5aca7b9c']",27,,,,,,,,,,,,,,,,,Freiburg,183,00:00:27.778,Pass,
,,,,,,,,,,,,,,,,5.0198,,,,,,,,,,,494f6532-5774-4bd0-917a-ffd79a373101,34,,"[80.2, 67.9]",3895275,0,,,,,0.8243395,,Right Foot,,,"[91.3, 79.9]",,High Pass,,16.34656,,Out,Roland Sallai,19316.0,,,,,1,Regular Play,Kiliann Sildillia,79429.0,Right Center Back,3,Bayer Leverkusen,904,['06171e14-bdc5-4224-98c5-1c5c3ad15bda'],28,,,,,,,,,,,,,,,,,Freiburg,183,00:00:28.872,Pass,
,,,,,,,,,,,,,,,,0.632278,,,,,,,,,,,2eeda523-49a4-4d1a-a679-1dfae1673f04,36,,"[29.8, 0.1]",3895275,0,,,,,1.7033478,,,,,"[28.6, 9.1]",,Low Pass,,9.079648,,,Exequiel Alejandro Palacios,28268.0,,,,Throw-in,1,From Throw In,Alejandro Grimaldo García,10336.0,Left Wing Back,4,Bayer Leverkusen,904,['7eac92fc-3295-4970-b8cd-b9faefd3c4ba'],42,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:42.168,Pass,
,,,,,,,,,,,,,,,,1.031389,,,,,,,,,,,c4c6e58d-118c-42b5-b55b-56ddacb505d3,39,,"[27.9, 9.5]",3895275,0,,,,,0.0,,Right Foot,,,"[34.7, 9.5]",,Low Pass,,6.8,,,Florian Wirtz,40724.0,,,,,1,From Throw In,Exequiel Alejandro Palacios,28268.0,Left Defensive Midfield,4,Bayer Leverkusen,904,['66b70cb7-0987-4c2b-8193-cff3bb616a4a'],42,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:42.841,Pass,
