50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.747519,,,,,,,,,,,,,,fac165d9-b02f-4273-8b75-5896ccc51e01,14,,,"[32.0, 26.7]",3895340,0,,,,,2.081547,,Head,,,"[25.5, 38.3]",,Low Pass,,13.296992,,,,,Robert Andrich,9195.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,3,Bayer Leverkusen,904,['f245f67b-8dfc-43cb-a091-c189b9a31ec2'],10,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:10.450,Pass,
,,,,,,,,,,,,,,,,0.947246,,,,,,,,,,,,,,e6074e93-4e93-41cc-ae11-1eb756d10ed3,17,,,"[25.5, 38.3]",3895340,0,,,,,-1.0652152,,Left Foot,,,"[31.7, 27.1]",,High Pass,,12.801562,,,,,Granit Xhaka,3500.0,,,,,,1,Regular Play,Robert Andrich,9195.0,Right Defensive Midfield,3,Bayer Leverkusen,904,['bcbe0eb0-5fdd-4982-a615-6f4c4378ff07'],11,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:11.392,Pass,
,,,,,,,,,,,,,,,,1.40149,,,,,,,,,,,,,,c169dee4-2a70-4226-b6b6-ae4674e5c4a5,20,,,"[31.7, 27.1]",3895340,0,,,,,-2.9183812,,Left Foot,,,"[15.4, 23.4]",,Ground Pass,,16.714664,,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,Regular Play,Granit Xhaka,3500.0,Left Defensive Midfield,3,Bayer Leverkusen,904,['1d82665e-4d29-4e01-888a-c47893a00059'],13,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:13.068,Pass,
,,,,,,,,,,,,,,,,1.511008,,,,,,,,,,,,,,30428367-a91d-4892-9e9c-71af77ee8a09,23,,,"[21.5, 28.6]",3895340,0,,,,,0.6444942,,Right Foot,,,"[37.6, 40.7]",,Ground Pass,,20.14001,,,,,Josip Stanišić,49337.0,,,,,,1,Regular Play,Edmond Fayçal Tapsoba,30606.0,Left Center Back,3,Bayer Leverkusen,904,['1f1c05a4-c64f-4cc1-8016-1bedd05d1b1a'],16,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:16.611,Pass,
,,,,,,,,,,,,,,,,0.605854,,,,,,,,,,,,,,e7e5c412-8e3a-41f3-b363-4779dd46751a,29,,,"[43.6, 30.0]",3895340,0,,,,,1.7942729,,Left Foot,,,"[41.1, 41.0]",,Ground Pass,,11.280514,,,,,Robert Andrich,9195.0,,,,,Free Kick,1,From Free Kick,Edmond Fayçal Tapsoba,30606.0,Left Center Back,4,Bayer Leverkusen,904,['5c311185-306a-44aa-89ff-85c63b434fa3'],36,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:36.904,Pass,
,,,,,,,,,,,,,,,,0.84146,,,,,,,,,,,,,,2338dba2-e18f-4b9d-a8f6-07794248b5d4,32,,,"[42.8, 39.7]",3895340,0,,,,,-1.9124118,,Right Foot,,,"[38.0, 26.2]",,Ground Pass,,14.327945,,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,1,From Free Kick,Robert Andrich,9195.0,Right Defensive Midfield,4,Bayer Leverkusen,904,['3ba9cd21-0039-463d-b060-a9b2cd3e2c90'],38,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:38.145,Pass,
,,,,,,,,,,,,,,,,1.090909,,,,,,,,,,,,,,e10f76d2-1284-4a27-927f-5558138be4ef,35,,,"[38.0, 38.3]",3895340,0,,,,,0.82016677,,Right Foot,,,"[49.1, 50.2]",,Ground Pass,,16.27329,,,,,Josip Stanišić,49337.0,,,,,,1,From Free Kick,Edmond Fayçal Tapsoba,30606.0,Left Center Back,4,Bayer Leverkusen,904,['3808ba05-90c2-4b73-8411-2b2c6b0c7377'],40,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:40.746,Pass,
,,,,,,,,,,,,,,,,1.68446,,,,,,,,,,,,,,a2fc6a65-bac5-4507-9d6f-b13550aeb5be,38,,,"[48.8, 52.6]",3895340,0,,,,,2.1257076,,Right Foot,,,"[38.2, 69.7]",,Ground Pass,,20.118896,,,,,Odilon Kossonou,27133.0,,,,,,1,From Free Kick,Josip Stanišić,49337.0,Right Wing Back,4,Bayer Leverkusen,904,['57d95e97-f13c-4a83-9325-f528a79c523a'],42,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:42.698,Pass,
,,,,,,,,,,,,,,,,2.028134,,,,,,,,,,,,,,e97d6ad0-6536-4600-9eff-c88a543f7a68,45,,,"[42.4, 80.0]",3895340,0,,,,,-1.3690339,,,,,"[47.8, 53.6]",,Low Pass,,26.946613,,,Incomplete,,Patrik Schick,7044.0,,,,,Throw-in,1,From Throw In,Josip Stanišić,49337.0,Right Wing Back,5,Bayer Leverkusen,904,"['0e2a7d91-3452-4ea1-85f4-c5b5058d1c80', '308e3e15-b2de-445b-ad2b-dcc38f94ca93']",54,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:54.466,Pass,
,,,,,,,,,,,,,,,,1.424442,,,,,,,,,,,,,,f6d22d3c-fb6a-4cec-a58e-3c456349e8be,49,,,"[72.1, 23.7]",3895340,0,,,,,0.28222314,,Left Foot,,,"[99.0, 31.5]",,High Pass,,28.008034,,,Incomplete,,Takuma Asano,8949.0,,,,,,1,From Throw In,Kevin Stöger,12303.0,Center Attacking Midfield,5,Bayer Leverkusen,904,"['5c7315c2-bb79-4f86-a6bf-18d7e145297a', '6529eb22-46cf-4e13-83df-c36d0f58f8b4']",57,,,,,,,,,,,,,,,,,Bochum,868,00:00:57.940,Pass,
