50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,63d94113-a4e0-45a3-b4de-87b8d27d5524,1,,,3895250,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 33401, 'name': 'Amine Adli'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 21}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9f12347c-3391-4a36-9d43-4f72a39c2447,2,,,3895250,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 19405, 'name': 'Robin Zentner'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 27}, {'player': {'id': 8207, 'name': 'Dominik Kohr'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 31}, {'player': {'id': 15458, 'name': 'Sepp van den Berg'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 10480, 'name': 'Anthony Caci'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 13315, 'name': 'Philipp Mwene'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 23402, 'name': 'Leandro Barreiro Martins'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8403, 'name': 'Nadiem Amiri'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 363583, 'name': 'Brajan Gruda'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 43}, {'player': {'id': 5623, 'name': 'Jae-Sung Lee'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 11278, 'name': 'Karim Onisiwo'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",FSV Mainz 05,177,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,398b7370-8ecd-40a0-9f93-85a9cf92adb4,3,,,3895250,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['213df70e-f903-4676-b38b-4d61ba9902f7'],0,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,213df70e-f903-4676-b38b-4d61ba9902f7,4,,,3895250,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['398b7370-8ecd-40a0-9f93-85a9cf92adb4'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e810d223-5ee6-465d-bbb1-f9d91215c9ca,1886,,,3895250,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Bayer Leverkusen,904,['e3af0ff4-d7e8-441e-9494-e0fc10903215'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e3af0ff4-d7e8-441e-9494-e0fc10903215,1887,,,3895250,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Bayer Leverkusen,904,['e810d223-5ee6-465d-bbb1-f9d91215c9ca'],0,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.219663,,,,,,,,,,,,2c8959ba-eede-48db-a7c3-c06853b94042,5,,"[61.0, 40.1]",3895250,0,,,,2.7659523,,Right Foot,,,,"[39.7, 48.5]",,Ground Pass,,22.896505,,,,Odilon Kossonou,27133.0,,,,,,Kick Off,1,From Kick Off,Jonas Hofmann,8804.0,Right Attacking Midfield,2,Bayer Leverkusen,904,['9ae6b567-1335-4c07-a8c3-4846ac6bfb8c'],1,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:01.186,Pass,
,,,,,,,,,,,,,,,,,2.544798,,,,,,,,,,,,754b318a-7c79-425e-b44c-74db56e0bf3c,8,,"[41.3, 47.5]",3895250,0,,,,-1.4118911,,Right Foot,,,,"[46.3, 16.3]",,Ground Pass,,31.5981,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,,1,From Kick Off,Odilon Kossonou,27133.0,Right Center Back,2,Bayer Leverkusen,904,['daf52a81-010b-49c2-b8af-48f5c7a11058'],3,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:03.842,Pass,
,,,,,,,,,,,,,,,,,0.643792,,,,,,,,,,,,554007b6-6aa3-4298-ab45-3136a5428e20,12,,"[48.0, 17.0]",3895250,0,,,,-0.9272952,,Right Foot,,,,"[57.0, 5.0]",,Ground Pass,,15.0,,,,Alejandro Grimaldo García,10336.0,,,,,,,1,From Kick Off,Edmond Fayçal Tapsoba,30606.0,Left Center Back,2,Bayer Leverkusen,904,['6d02f7a0-e6ab-44cc-aabb-223cfb226dcb'],7,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:07.770,Pass,
,,,,,,,,,,,,,,,,,1.747852,,,,,,,,,,,,9bbf5a79-3c34-40e6-bb1d-77e79a4450ae,15,,"[56.0, 5.2]",3895250,0,,,,-3.0617626,,Left Foot,,,,"[38.5, 3.8]",,Ground Pass,,17.55591,,,,Edmond Fayçal Tapsoba,30606.0,,,,,,,1,From Kick Off,Alejandro Grimaldo García,10336.0,Left Wing Back,2,Bayer Leverkusen,904,['b0e78b4e-c052-4195-b950-1ce2ccacd03f'],9,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:09.379,Pass,
