50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6c9ebdf9-117f-4a31-8b52-ebcf3c35d0c6,1,,,3895086,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 30606, 'name': 'Edmond Fayçal Tapsoba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6755b1ac-4f37-4c35-b1ef-181d68375e7d,2,,,3895086,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 9205, 'name': 'Kevin Müller'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 48959, 'name': 'Omar Haktab Traorè'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 10303, 'name': 'Patrick Mainka'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 46430, 'name': 'Tim Siersleben'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 9109, 'name': 'Jonas Föhrenbach'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 133483, 'name': 'Lennard Maloney'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 9203, 'name': 'Norman Theuerkauf'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 30}, {'player': {'id': 67007, 'name': 'Eren Sami Dinkçi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 9201, 'name': 'Nikola Dovedan'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 31310, 'name': 'Jan-Niklas Beste'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 37}, {'player': {'id': 11382, 'name': 'Tim Kleindienst'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",FC Heidenheim,201,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8b3af8ba-e26c-40b0-8278-c3e4c7a925f8,3,,,3895086,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['b795eae8-ba56-4343-8662-92a8da669bc5'],0,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b795eae8-ba56-4343-8662-92a8da669bc5,4,,,3895086,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['8b3af8ba-e26c-40b0-8278-c3e4c7a925f8'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b334dbc-7ecc-4ab5-8c4d-f06e4335f9fd,2084,,,3895086,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Bayer Leverkusen,904,['a7b2d0e6-f412-4ef1-89bf-188076c784d1'],0,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a7b2d0e6-f412-4ef1-89bf-188076c784d1,2085,,,3895086,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,85,Bayer Leverkusen,904,['2b334dbc-7ecc-4ab5-8c4d-f06e4335f9fd'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.545795,,,,,,,,,,,,,,3aee3cdf-be11-4ee6-b4bb-828cb4edbe36,5,,"[61.0, 40.1]",3895086,0,,,,3.065435,,Right Foot,,,,"[36.1, 42.0]",,Ground Pass,,24.972385,,,,Lennard Maloney,133483.0,,,,,Kick Off,1,From Kick Off,Nikola Dovedan,9201.0,Center Attacking Midfield,2,FC Heidenheim,201,['40f9b6ab-32ab-47e8-8b92-9b97e90d4c4f'],0,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:00.776,Pass,
,,,,,,,,,,,,,,,,,2.560189,,,,,,,,,,,,,,28f3d343-a6db-4854-bae5-f3390857e90c,8,,"[36.7, 42.6]",3895086,0,,,,-0.77948105,,Right Foot,,,,"[79.2, 0.6]",,High Pass,,59.751568,,Out,,Jonas Föhrenbach,9109.0,,True,,,,1,From Kick Off,Lennard Maloney,133483.0,Right Defensive Midfield,2,FC Heidenheim,201,['39ec53e3-9bd4-4411-814d-6e1ede254aac'],3,,,,,,,,,,,,,,,,,FC Heidenheim,201,00:00:03.839,Pass,
,,,,,,,,,,,,,,,,,0.905224,,,,,,,,,,,,,,d5a131da-001e-451d-94a2-16c8fddf1ae0,10,,"[41.2, 80.0]",3895086,0,True,,,-0.96299434,,,,,,"[47.6, 70.8]",,High Pass,,11.207141,,,,Jonas Hofmann,8804.0,,,,,Throw-in,1,From Throw In,Jeremie Frimpong,32712.0,Right Wing Back,3,Bayer Leverkusen,904,['a03fa6b0-0944-4d90-9881-9d2b47418d86'],11,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:11.881,Pass,
,,,,,,,,,,,,,,,,,0.729732,,,,,,,,,,,,,,e7281523-4786-460c-a9a4-c25b2828a783,13,,"[48.4, 69.9]",3895086,0,,,,1.1801893,,Right Foot,,,,"[50.5, 75.0]",,Low Pass,,5.515433,,,,Jeremie Frimpong,32712.0,,,,,,1,From Throw In,Jonas Hofmann,8804.0,Right Attacking Midfield,3,Bayer Leverkusen,904,['da7c4c87-47cc-43e4-abc7-ed5153ccd953'],12,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:12.786,Pass,
