50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,9dccc6c3-b811-4be7-8150-4168bc3ca660,1,,,3895139,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 27133, 'name': 'Odilon Kossonou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 32289, 'name': 'Victor Okoh Boniface'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,890abee7-8154-4993-8853-6b241042d004,2,,,3895139,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 12420, 'name': 'Frederik Rønnow'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 20606, 'name': 'Paul Jaeckel'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 23}, {'player': {'id': 11175, 'name': 'Diogo Filipe Monteiro Pinto Leite'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 29163, 'name': 'Josip Juranović'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 18}, {'player': {'id': 3676, 'name': 'Jérôme Roussillon'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 26}, {'player': {'id': 23452, 'name': 'Alex Král'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 33}, {'player': {'id': 44955, 'name': 'Aïssa Bilal Laïdouni'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8938, 'name': 'Janik Haberer'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 8375, 'name': 'Sheraldo Becker'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 89326, 'name': 'David Datro Fofana'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Union Berlin,190,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,a55c0f6c-80b8-4aca-b1ba-c6cc159a42ff,3,,,3895139,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['37c2bcbd-3878-4d1e-8597-819e9b31e45c'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,37c2bcbd-3878-4d1e-8597-819e9b31e45c,4,,,3895139,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['a55c0f6c-80b8-4aca-b1ba-c6cc159a42ff'],0,,,,,,,,,,,,,,,,,,Union Berlin,190,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,42151719-539c-4c6a-97a5-ed1d347eb37d,2150,,,3895139,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Union Berlin,190,['1c769c90-8190-43d9-a4c2-3eb01a58186c'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,1c769c90-8190-43d9-a4c2-3eb01a58186c,2151,,,3895139,45,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,87,Union Berlin,190,['42151719-539c-4c6a-97a5-ed1d347eb37d'],0,,,,,,,,,,,,,,,,,,Union Berlin,190,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.522864,,,,,,,,,,ef1f71db-e406-4af2-ae65-6612a8b32342,5,,"[60.0, 40.0]",3895139,0,,,,3.006498,,Right Foot,,,,"[39.4, 42.8]",,Ground Pass,,20.789421,,,,Odilon Kossonou,27133.0,,,,Kick Off,1,From Kick Off,Exequiel Alejandro Palacios,28268.0,Left Defensive Midfield,2,Bayer Leverkusen,904,['658fd3bb-62bf-45af-9e0d-456c5473cb5f'],1,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:01.304,Pass,
,,,,,,,,,,,,,,,,,1.602896,,,,,,,,,,0b69df43-f35a-4dca-8ad7-894de6ebb23d,8,,"[39.8, 43.0]",3895139,0,,,,-1.2284636,,Right Foot,,,,"[49.6, 15.5]",,Ground Pass,,29.194006,,,,Piero Martín Hincapié Reyna,38004.0,,,,,1,From Kick Off,Odilon Kossonou,27133.0,Right Center Back,2,Bayer Leverkusen,904,['54a0d99f-3931-4426-847c-f0503178dc54'],4,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:04.651,Pass,
,,,,,,,,,,,,,,,,,1.088441,,,,,,,,,,cf689812-2c46-4599-a3ec-5eb276282fc6,12,,"[47.0, 13.1]",3895139,0,,,,0.99945885,,Left Foot,,,,"[55.1, 25.7]",,Ground Pass,,14.978985,,,,Exequiel Alejandro Palacios,28268.0,,,,,1,From Kick Off,Piero Martín Hincapié Reyna,38004.0,Left Center Back,2,Bayer Leverkusen,904,['94e68111-9c1e-4df3-82e3-e94bf5190b28'],8,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:08.185,Pass,
,,,,,,,,,,,,,,,,,0.69428,,,,,,,,,,59add775-dc72-4488-8db3-a68561975396,15,,"[56.2, 26.0]",3895139,0,,,,0.989714,,Right Foot,,,,"[65.0, 39.4]",,Ground Pass,,16.03122,,,,Jonas Hofmann,8804.0,,,,,1,From Kick Off,Exequiel Alejandro Palacios,28268.0,Left Defensive Midfield,2,Bayer Leverkusen,904,['74685a8f-4ab5-45de-8ff1-1031de91d3ae'],11,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:11.593,Pass,
,,,,,,,,,,,,,,,,,1.480899,,,,,,,,,,827a0054-406c-4ecd-91b2-cc958966a896,18,,"[65.0, 38.9]",3895139,0,,,,3.1175587,,Right Foot,,,,"[44.2, 39.4]",,Ground Pass,,20.80601,,,,Jonathan Tah,8221.0,,,,,1,From Kick Off,Jonas Hofmann,8804.0,Right Attacking Midfield,2,Bayer Leverkusen,904,['9557e839-9dd6-460f-92b3-4695020a220b'],12,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:12.327,Pass,
,,,,,,,,,,,,,,,,,0.88392,,,,,,,,,,b2175f03-e60e-475a-a952-37272e161d4f,22,,"[56.9, 54.7]",3895139,0,,,,1.0725713,,Right Foot,,,,"[63.7, 67.2]",,Ground Pass,,14.229898,,,,Odilon Kossonou,27133.0,,,,,1,From Kick Off,Jonathan Tah,8221.0,Center Back,2,Bayer Leverkusen,904,['a39c4a69-05a5-4287-94e6-203260c4f258'],18,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:18.612,Pass,
,,,,,,,,,,,,,,,,,0.832204,,,,,,,,,,318a0e70-8739-4452-905c-17fe7038248a,26,,"[65.8, 72.7]",3895139,0,,,,0.43911266,,Right Foot,,,,"[72.4, 75.8]",,Ground Pass,,7.291776,,,,Jeremie Frimpong,32712.0,,,,,1,From Kick Off,Odilon Kossonou,27133.0,Right Center Back,2,Bayer Leverkusen,904,['6ff176da-0b26-4fb4-b0e9-b23004bed813'],20,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:20.443,Pass,
,,,,,,,,,,,,,,,,,0.893457,,,,,,,,,,bdef7c69-318e-48d5-99cc-035e8c31328c,30,,"[71.9, 75.1]",3895139,0,,,,-2.9546134,,Right Foot,,,,"[64.5, 73.7]",,Ground Pass,,7.531268,,,,Odilon Kossonou,27133.0,,,,,1,From Kick Off,Jeremie Frimpong,32712.0,Right Wing Back,2,Bayer Leverkusen,904,"['147064cb-a7e8-4012-adeb-8e7e7661b286', 'b3b5db65-98fc-4561-a02e-2019c1cb4f49']",21,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:21.619,Pass,True
