50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,dcaae351-b348-442a-be78-cd0c90131885,1,,,3895202,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RB Leipzig,182,,0,,,,,,,,,,,,,,,,,"{'formation': 4222, 'lineup': [{'player': {'id': 15155, 'name': 'Janis Blaswich'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 30360, 'name': 'Mohamed Simakan'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8507, 'name': 'Lukas Klostermann'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 40185, 'name': 'Junior Castello Lukeba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 12034, 'name': 'David Raum'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 22}, {'player': {'id': 39460, 'name': 'Nicolas Seiwald'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 8769, 'name': 'Xaver Schlager'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 39167, 'name': 'Xavi Simons'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 16532, 'name': 'Daniel Olmo Carvajal'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 38759, 'name': 'Benjamin Šeško'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 30}, {'player': {'id': 16275, 'name': 'Ikoma Loïs Openda'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",RB Leipzig,182,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f291e745-c955-4830-8c2c-c4a3bd33d7b1,2,,,3895202,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RB Leipzig,182,,0,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49337, 'name': 'Josip Stanišić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 28268, 'name': 'Exequiel Alejandro Palacios'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 25}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,586d4614-5fb4-483f-a393-62903631dfa9,3,,,3895202,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RB Leipzig,182,['d35559c3-bf83-4eb5-95bd-bcfc72327889'],0,,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d35559c3-bf83-4eb5-95bd-bcfc72327889,4,,,3895202,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,RB Leipzig,182,['586d4614-5fb4-483f-a393-62903631dfa9'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,710fe4c2-4acb-4ab0-a28a-0f49f08cca5e,2187,,,3895202,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,RB Leipzig,182,['e287e59c-c83f-44d7-aaa9-ecaed83e57bb'],0,,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e287e59c-c83f-44d7-aaa9-ecaed83e57bb,2188,,,3895202,45,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,RB Leipzig,182,['710fe4c2-4acb-4ab0-a28a-0f49f08cca5e'],0,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.440712,,,,,,,,,,,,,b98b3109-8cb2-4017-8960-a8cb2a1937c1,5,,"[60.0, 40.0]",3895202,0,,,,2.3884413,,Left Foot,,,"[56.8, 43.0]",,Ground Pass,,4.3863425,,Daniel Olmo Carvajal,16532.0,,,,,Kick Off,1,From Kick Off,Xavi Simons,39167.0,Right Attacking Midfield,2,RB Leipzig,182,['0567a83e-fc3f-4b03-90d4-d73e0dea5100'],0,,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:00.575,Pass,
,,,,,,,,,,,,,,,,0.582041,,,,,,,,,,,,,04aea3ae-64dc-4ec8-aca8-96f72f4ffa44,8,,"[56.0, 43.0]",3895202,0,,,,-0.60698766,,Right Foot,,,"[59.6, 40.5]",,Ground Pass,,4.382921,,Xavi Simons,39167.0,,,,,,1,From Kick Off,Daniel Olmo Carvajal,16532.0,Left Attacking Midfield,2,RB Leipzig,182,['e4ac7060-8a70-4d14-b68f-3107f24e68ef'],1,,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:01.136,Pass,
,,,,,,,,,,,,,,,,0.863635,,,,,,,,,,,,,c10715ad-d07f-4a7e-afa1-591d47148016,11,,"[58.9, 40.5]",3895202,0,,,,2.9264855,,Right Foot,,,"[47.0, 43.1]",,Ground Pass,,12.180722,,Nicolas Seiwald,39460.0,,,,,,1,From Kick Off,Xavi Simons,39167.0,Right Attacking Midfield,2,RB Leipzig,182,['f3230d38-2a0e-4451-8c7e-829acd737dea'],1,,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:01.878,Pass,
,,,,,,,,,,,,,,,,0.666,,,,,,,,,,,,,ec79c316-adfc-47d4-bdba-e20f35cdbaea,14,,"[46.6, 43.5]",3895202,0,,,,2.4237607,,Right Foot,,,"[39.5, 49.7]",,Ground Pass,,9.426028,,Lukas Klostermann,8507.0,,,,,,1,From Kick Off,Nicolas Seiwald,39460.0,Right Defensive Midfield,2,RB Leipzig,182,['6da25def-db9d-47c6-80b9-9ef7b33f7c6b'],3,,,,,,,,,,,,,,,,,,RB Leipzig,182,00:00:03.816,Pass,
