50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cbf9e32c-bd1c-4f0b-b363-4aa74a8295a9,1,,,3895182,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 49337, 'name': 'Josip Stanišić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8221, 'name': 'Jonathan Tah'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 38004, 'name': 'Piero Martín Hincapié Reyna'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 32712, 'name': 'Jeremie Frimpong'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 30}, {'player': {'id': 10336, 'name': 'Alejandro Grimaldo García'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 20}, {'player': {'id': 3500, 'name': 'Granit Xhaka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 34}, {'player': {'id': 9195, 'name': 'Robert Andrich'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 8804, 'name': 'Jonas Hofmann'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 40724, 'name': 'Florian Wirtz'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 7044, 'name': 'Patrik Schick'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Bayer Leverkusen,904,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f9125b2f-011e-4feb-8e48-bfb940959f8c,2,,,3895182,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 9095, 'name': 'Manuel Riemann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5602, 'name': 'Cristian Gamboa Luna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 29760, 'name': 'Erhan Mašović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 23351, 'name': 'Keven Schlotterbeck'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 31}, {'player': {'id': 8960, 'name': 'Bernardo Fernandes da Silva Junior'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 133208, 'name': 'Patrick Osterhage'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 9089, 'name': 'Anthony Losilla'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 15546, 'name': 'Matúš Bero'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 19}, {'player': {'id': 8949, 'name': 'Takuma Asano'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 9230, 'name': 'Christopher Antwi-Adjej'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 23498, 'name': 'Gonçalo Mendes Paciencia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Bochum,868,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ffeb7d5b-2f57-4d08-8acf-81f4bb700dfb,3,,,3895182,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['a21612b5-1e35-44f7-a8a4-e3e7abfc90ea'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a21612b5-1e35-44f7-a8a4-e3e7abfc90ea,4,,,3895182,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bayer Leverkusen,904,['ffeb7d5b-2f57-4d08-8acf-81f4bb700dfb'],0,,,,,,,,,,,,,,,,,Bochum,868,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d0e75270-d190-4865-b2cf-adb2160fbd61,1784,,,3895182,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Bayer Leverkusen,904,['493b71d5-6e8f-47e3-8523-8b7b94a07012'],0,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,493b71d5-6e8f-47e3-8523-8b7b94a07012,1785,,,3895182,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,87,Bayer Leverkusen,904,['d0e75270-d190-4865-b2cf-adb2160fbd61'],0,,,,,,,,,,,,,,,,,Bochum,868,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,2.452623,,,,,,,,,,,,,a2530738-bfbf-4ef1-b4a1-b12a4cde498d,5,,"[61.0, 40.1]",3895182,0,,,,,3.0955725,,Right Foot,,,"[30.6, 41.5]",,Ground Pass,,30.43222,,,,Manuel Riemann,9095.0,,,,,Kick Off,1,From Kick Off,Anthony Losilla,9089.0,Right Center Midfield,2,Bochum,868,['5e4e3dcc-b9cc-4daa-9f0b-22343fc16703'],0,,,,,,,,,,,,,,,,,Bochum,868,00:00:00.877,Pass,
,,,,,,,,,,,,,,,4.964329,,,,,,,,,,,,,7ebdf262-33fc-44e3-a742-5b467bd85a8c,8,,"[32.3, 40.4]",3895182,0,,,,,-0.23005983,,Drop Kick,,,"[97.2, 25.2]",,High Pass,,66.656204,,Incomplete,,Gonçalo Mendes Paciencia,23498.0,,,,,,1,From Kick Off,Manuel Riemann,9095.0,Goalkeeper,2,Bochum,868,"['a492628d-fdb5-4118-bd85-99e7b75cd2e8', 'e85675bf-a27e-4f4a-8362-82cbf4efcd93']",4,,,,,,,,,,,,,,,,,Bochum,868,00:00:04.960,Pass,
,,,,,,,,,,,,,,,1.746507,,,,,,,,,,,,,a492628d-fdb5-4118-bd85-99e7b75cd2e8,10,,"[22.9, 54.9]",3895182,0,,,,,1.9804424,,Head,,,"[16.3, 70.1]",,Low Pass,,16.571058,,,,Jeremie Frimpong,32712.0,,,,,Recovery,1,From Kick Off,Josip Stanišić,49337.0,Right Center Back,2,Bochum,868,"['7ebdf262-33fc-44e3-a742-5b467bd85a8c', 'b58b6b04-8654-4c3e-a902-c79190f64ecc']",9,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:09.924,Pass,
,,,,,,,,,,,,,,,1.802015,,,,,,,,,,,,,70a4f99d-981f-4eb2-a2b0-528fc7054c00,14,,"[16.5, 71.2]",3895182,0,,,,,0.32175055,,Right Foot,,,"[42.0, 79.7]",,High Pass,,26.87936,,Out,,,,,,,,,1,From Kick Off,Jeremie Frimpong,32712.0,Right Wing Back,2,Bochum,868,,11,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:00:11.922,Pass,
